standardized_disease;list_of_diseases_fuzzy_tfidf_1
aborsi septik;['aborsi septik', 'abortus septik', 'infeksi abortus septik']
abses;['abses']
abses gigi;['abses gigi']
abses paru;['abs paru', 'abses paru']
adesilentikular;['adesilentikular']
adnexitis;['dakriosistitis adnexitis', 'adnexitis']
akne;['akne nekrotika', 'acne vulgaris', 'akne pustular', 'akne', 'akne berat', 'acne', 'akne vulgarisjerawat ringan', 'acne vulgaris papulapustula', 'acne eksim', 'acne ringan', 'akne vulgaris ringan sedang', 'akne vulgaris', 'acne vulgaris papulapustula berat', 'akne vulgarisjerawat', 'akne pustularis']
akrosia;['akrosianosis', 'akrosia']
alergi;['penyakit alergi', 'alergi inflamasi', 'reaksi alergi', 'gi kondisi alergi', 'gangguan alergi', 'gejala alergi', 'alergi akut kronis', 'alergi ringan', 'alergi', 'akibat alergi', 'gi alergi', 'peradangan alergi']
alergi dermatologi;['penyakit kulit akibat reaksi alergi', 'alergi kulit mukosa', 'penyakit penyakit dermatologis alergik', 'gangguan kulit alergi', 'alergi kulit selaput lendir', 'alergi kulit', 'alergi dermatologi', 'gangguan alergi kulit', 'reaksi alergi kulit', 'gangguan kulit akibat alergi']
alergi dingin;['extremitastangankaki dingin', 'urtikaria dingin', 'ekstremitas dingin', 'alergi dingin', 'badan dingin']
alergi makanan;['alergi makanan']
alergi mata;['alergi kelopak mata', 'alergi kulit mata', 'alergi mata']
alergi obat;['reaksi alergi obatobatan', 'alergi obat']
alergi saluran pernapasan;['alergi saluran pernapasan', 'alergi pernapasan hidung']
alopesia androgenetika;['androgenetica alopecia', 'kebotakan androgenetika androgenetica alopecia', 'alopesia androgenetika']
ambeien;['ambeien']
amebiasis;['amoebiasis intestinal hepar', 'amubiasis intra intestinal', 'amoebiasis intestinal', 'amubiasis', 'amubiasis intestinal', 'intestinal amoebiasis', 'amubiasis ekstra intestinal', 'hepatic amoebiasis', 'amoebiasis', 'amebiasis', 'amubiasis intestinal akut']
amenore;['amenore primer', 'amenore galaktorea', 'amenore primer dan sekunder', 'amenore sekunder', 'amenore psikogenik', 'amenore primer sekunder', 'amenore', 'amenorre', 'amenorrhea']
anemia;['anemia']
anemia akibat pendarahan;['anemia akibat pendarahan', 'pendarahan hidung', 'pendarahan']
anemia defisiensi besi;['defisiensi zat besi', 'anemia defisiensi zat besi', 'defisiensi zat besi pencegahan', 'defisiensi zat besi gejala', 'defisiensi zat besi asam folat', 'defisiensi zat besi dan asam folat', 'anemia kekurangan zat besi']
anemia megaloblastik;['anemia megaloblastik', 'anemia megaloblastik dan makrositik', 'anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan', 'anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan', 'anemia makrositik', 'anemia megaloblastik makrositik']
anemia pada kehamilan dan menyusui;['anemia kehamilan menyusui', 'anemia pada kehamilan dan menyusui']
anemia pernisiosa;['anemia pernisiosa', 'pernisiosa']
aneurisma otak;['aneurisma']
angina pectoris;['angina pektoris', 'pektoris', 'angina pectoris']
angina prinzmetal;['angina stabil', 'angina varian', 'angina prinzmetal', 'angina', 'angina prinzmetal, angina varian']
angina vincent;['angina vincent', 'infeksi vincent']
angioedema;['urtikaria angioedema', 'angioderma', 'angioedema']
ankylosing spondylitis;['aankilosing spondilitis', 'spondilitis ankilosa', 'ra ankilosing spondilitis', 'spondilitis ankilosing', 'ankilosa spondilitis', 'ankylosing spondilitis', 'spondilitas ankilosa', 'oa ra ankilosing spondilitis', 'ankilosing spondilitis', 'spondilitis', 'ankylosing spondylitis', 'ankylosing spondylititis']
anoreksia nervosa;['anorexia', 'nafsu makan anak', 'anoreksia', 'nafsu makan', 'anoreksia kehilangan nafsu makan', 'hilang nafsu makan anoreksia']
anovulasi;['anovulasi']
ansietas;['ansietas']
aritmia;['aritmia jantung', 'aritmia ventrikel supraventrikel', 'disritmia jantung', 'disritmia kordis', 'gangguan ritme irama berhubungan', 'aritmia']
arteriosklerosis;['arteriosklerosis']
arthritis;['arthitis', 'arthritis', 'nyeri arthritis ringan', 'artritis akut', 'artritis idiopatik juvenil', 'arthisis', 'artritis', 'atritis akut kronis']
arthritis gout;['serangan gout akut', 'gout artritis akut', 'gangguan musculoskeletal akut gout akut', 'gout', 'gout akut', 'arthritis gout akut', 'artritis gout akut', 'serangan akut gout']
asam urat;['kelebihan asam urat', 'urat kaku', 'asam urat', 'asam urat akut', 'produksi asam urat berlebihan']
ascariasis;['ascariasis', 'ascaris lumbricoides', 'askariasis']
asites;['asites']
asma;['asthma', 'asthma bronkial', 'asma akut berat', 'asma bronkhial', 'asma akut', 'asmatikus', 'asma', 'asthmatoid bronchitis', 'asma sedang', 'obstruksi saluran nafas asma bronkhial', 'asma bronkial', 'asma ringan', 'asma berat akut', 'asma bronkhial khronik', 'asma bronkial kronik', 'dispnea akibat asma bronkhial', 'asmatik asma bronkial', 'asma kronis', 'serangan asma akut', 'astma', 'bronkial asma', 'asma dermatitis', 'asma berat', 'status asmatikus']
aspergillosis;['aspergillosis', 'aspergilosis']
asthenia;['astenia']
aterosklerosis;['aterosklerosis', 'artherosklerosis', 'aterosklerosis vaskular']
atrial fibrilasi;['fibrilasi atrium', 'fibrilasi atrium paroxismal', 'fibrilasi flutter atrium paroksismal', 'atrial fibrilasi']
atrial flutter;['atrial flutter']
bakteremia;['bakteremia']
batu empedu;['batu empedu', 'empedu']
batu ginjal;['batu oksalat', 'batu ginjal', 'batu oksalat ginjal saluran kemih']
batu kandung kemih;['gejala kandung kemih aktif', 'kandung kemih aktif', 'batu kandung kemih', 'batu urin', 'batu urin saluran kemih']
batuk;['batuk disertai peradangan saluran pernafasan bagian atas', 'meredakan batuk', 'batuk karena emphysema', 'batuk alergi', 'batuk karena alergi', 'batuk karena bronchitis', 'batuk', 'batuk bronchitis', 'batuk gatal', 'batuk panas', 'batuk sesak', 'batuk produktifberdahak  nonproduktifkering', 'gejala batuk', 'batuk akibat alergi', 'batuk produktifberdahak nonproduktifkering', 'batuk disebabkan oleh alergi', 'batuk yang disebabkan oleh alergi', 'batuk rangsangan selaput pernafasan', 'batuk yang disertai peradangan saluran pernafasan bagian atas', 'disertai peradangan', 'batuk tenggorokan', 'batuk akut kronik', 'batuk disebabkan alergi', 'batuk menahun']
batuk berdahak;['batuk berdahak alergi', 'ekspektoran gangguan batuk berdahak', 'batuk produktifberdahak', 'batuk ikke berdahak', 'batuk produktif berdahak', 'dahak', 'susah mengeluarkan dahak', 'batuk berdahak', 'batuk produktif', 'batuk mukolitik', 'ekspektoran batuk berdahak', 'mukolitik', 'dahak mukus', 'batuk berdahak karena alergi', 'gangguan batuk berdahak', 'dahak kental', 'batuk berdahak disertai alergi', 'batuk dahak kental']
batuk kering;['batuk tidak berdahak disertai bersinbersin alergi', 'batuk nonproduktifkering', 'batuk nonproduktif', 'gejala batuk tidak berdahak', 'batuk non produktif', 'batuk yang tidak berdahak disertai bersinbersin atau alergi', 'batuk kering', 'batuk nonproduktiftidak berdahak']
batuk kronis;['batuk kronis', 'batuk kronis akut']
batuk pilek;['batuk berhubungan flu gangguan pernapasan', 'batuk pilek', 'batuk berhubungan pilek', 'batuk menyertai pilek alergi', 'batuk/pilek']
batuk rejan;['batuk rejan', 'batuk rejanpertusis']
batuk tidak berdahak;['batuk tidak berdahak', 'tidak berdahak']
bau badan;['bau badan']
bau mulut;['bau mulut sedap', 'bau mulut']
bengkak;['bengak', 'memar', 'bengkak atau memar', 'bengkak memar', 'bengkak', 'bengkak akibat terpukul']
benjolan payudara;['benjolan payudara', 'benjolan benjolan payudara']
berat badan berlebih;['kelebihan berat badan', 'berat badan berlebih']
bersin;['pilek bersinbersin', 'bersinbersin disertai batuk', 'bersin bersin', 'bersin bersin disertai batuk', 'bersinbersin', 'bersin bersin yang disertai batuk', 'pilek bersin', 'bersin hidung tersumbat flu', 'bersin dan hidung tersumbat karena flu', 'bersinbersin yang disertai batuk', 'bersin', 'bersin disertai batuk']
biang keringat;['biang keringet', 'gatal akibat keringat', 'biang keringat', 'biang keringat alergi']
bibir kering;['bibir pecah pcah', 'kulit pecah pecah sudut mulut', 'bibir pecahpecah', 'bibir pecah pecah', 'bibir kering']
biduran;['urtikaria biduran', 'biduran kaligata kronis', 'kaligata', 'gatalgatal biduran', 'gangguan alergi urtikaria biduran kaligata kronis', 'biduran']
bisul;['bisul bernanah', 'bisul', 'bisul gatal']
blastomikosis;['blastomikosis']
blefaritis;['blepharitis', 'blefaritis', 'blefaritis non purulen', 'blefaritis nonpurulen', 'blefaritis alergi radang kelopak mata akibat alergi']
blefarokonjungtivitis;['blefarokonjungtivitis keratokonjungtivitis', 'blefarokonjungtivitis']
bph (benign prostatic hyperplasia);['bph', 'benign prostatic hyperplasia', 'bph (benign prostatic hyperplasia)']
bromokriptin;['bromokriptin']
bronkiektasis;['bronkhiektasis', 'bronkiektasi', 'bronkiektasis']
bronkiolitis;['bronkiolitis', 'bronchiolitis']
bronkitis;['bronkitis alergi', 'bronchitis', 'bronkhitis', 'kaitan bronkhitis', 'bronkitis']
bronkitis akut dan kronis;['bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'eksaserbasi akut dr bronkitis kronik', 'bronkhitis akut khronis', 'bronkhitis khronis', 'bronkitis asmatik', 'bronkitis akut dan kronik', 'exaserbasi', 'bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkitis asmatis', 'bronkhitis khronik emfisema', 'bronkhitis akut berulang', 'infeksi akut bronkitis kronis', 'bronkhitis khronis exaserbasi akut', 'bronchitis akut kronik', 'eksaserbasi bronkhitis kronis', 'exaserbasi akut bronkhitis khronik', 'eksesarbasi bronkitis kronis', 'bronkhitis akut  khronis', 'bronkitis menahun', 'bronkhitis asmatik', 'bronkitis kronis', 'bronkhitis akut dan kronis', 'bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkitis akut', 'eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkhitis kronis eksaserbasi akut', 'bronkhitis kronis dan eksaserbasi akut', 'bronkhitis akut', 'eksaserbasi dari bronkhitis kronis', 'bronkitis purulen', 'bronkitis asmatikus', 'eksaserbasi akut bronkitis kronis', 'eksaserbasi bakteri akut bronkitis kronis', 'ppok', 'bronkhitis akut kronik', 'eksaserbasi bronkitis kronis', 'exaserbasi bronkhitis khronik', 'akut bronkhitis', 'exaserbasi akut', 'bronkitis kronis eksaserbasi akut', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronchitis akut dan kronik', 'eksaserbasi bakterial akut bronkitis kronik', 'bronkhitis pneumonia', 'infeksi traktus respiratorius bronkhitis akut sinusitis akut', 'bronkhitis akut dan kronik', 'ppok bronkhitis khronis', 'bronkhitis khronik', 'bronkitis kronik eksaserbasi akut', 'eksaserbasi bronkhitis khronik', 'bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'eksaserbasi akut dari bronkitis kronik', 'eksaserbasi kronis akut', 'bronkitis kronik', 'bronkhitis kronik', 'bronkitis akut kronik', 'bronkitis akut atau kronik', 'bronkhitis kronis', 'bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'eksaserbasi bakteri akut bronkitis kronik', 'bronkitis khronis', 'bronkhitis akut kronis', 'eksaserbasi akut bronkitis kronik', 'bronkritis kronik']
bronkitis pneumonia;['bronkitis pneumonia']
bronkopasma;['bronkospasme', 'bronkhospastik', 'bronkospasme semua jenis asma bronkial', 'bronkhospasme reversibel', 'bronkospasma', 'kondisi2 bronkhospastik', 'bronkhospasme', 'bronkospasme akut', 'bronkospasme jenis asma bronkial', 'bronkhospastik lain', 'penyakit2 paru menimbulkan komplikasi bronkhospasme', 'bronkospasme reversibel', 'bronkospasme kronik', 'bronkospasme bronkitis kronik', 'bronkospasme pada semua jenis asma bronkial', 'bronkospasme kronis']
bronkopneumonia;['bronkopneumonia']
bronkopulmonal;['bronkopulmonal']
brucellosis;['bruselosis', 'brucellosis']
bursitis;['bursitis']
cacar air;['cacar air']
cacing gelang ascaris lumbricoides;['cacing gelang ascaris lumbricoides']
cacing kremi;['enterobius vermicularis', 'kremi', 'infeksi cacing kremi enterobius vermicularis', 'cacing', 'infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut', 'cacing kremi']
campak;['campak']
candidiasis;['infeksi mikosis sistemik kandidiasis', 'orofaringeal infeksi kandida sistemik serius', 'infeksi kandida kriptokokal', 'kandidiasis sistemik', 'kandidiasis sistemik serius', 'kandda vagina', 'infeksi kandida kriptokokal sistemik', 'kandidiasis gastrointestinal', 'kandida', 'kandiasis di organ genital', 'moniliasis', 'kandidiasis kutaneus moniliasis', 'kandiasis organ genital', 'kandidiasis', 'kandidiasis sistemik yang serius', 'kriptokokosis kandidemia', 'kandidiasi genetikal', 'kandidosis', 'kandidemia infeksi kandida sistemik', 'kandiasis', 'kandidiasis invasif', 'kandidiasis esofaringeal', 'kandidiasis subkutan', 'intertrigo kandida', 'kandidiasis esofageal', 'candidiasis', 'infeksi kandida sistemik serius', 'gastrointestinal kandidosis sistemik', 'infeksi kandida invasif', 'kandidiasis vulvovag', 'kandidiasis vulvovagina', 'kandidosis vulvovaginal', 'kandidiasis saluran cerna', 'kandidemia', 'infeksi kandida sistemik', 'candida candidiasis', 'kandidiasis kutaneus', 'kandidiasis diseminata', 'kandidiasi genetikal teritama', 'kandida jamur bakteri gram positif']
cedera;['cedera']
cedera olahraga;['cedera karena olahraga dan kecelakaan', 'cedera berolahraga kecelakaan', 'cedera jaringan lunak', 'cedera olahraga kecelakaan', 'cedera karena olahraga', 'cedera olahraga']
cerebral palsy;['cerbral palsy', 'kelumpuhan cerebral', 'gangguan serebral', 'cerebral palsy']
chlamydia;['trachomatis', 'chlamydia trachomatis', 'chlamydia']
cocidioidomycosis;['coci dioidomycosis', 'cocci dioidomycosis']
covid-19;['covid-19', 'covid19', 'covid 19']
cystitis;['cystitis']
deep vein thrombosis;['deep vein thrombosis']
defisiensi asam folat;['defisiensi asam folat', 'defisensi asam folat']
defisiensi estrogen;['defisiensi estrogen']
defisiensi natrium hipovolemik;['defisiensi natrium hipovolemik']
defisiensi progesteron;['defisiensi progesteron']
defisiensi tiamin;['defisiensi tiamin', 'kekurangan thiamin mononitrate']
defisiensi vitamin b;['defisiensi folic acid', 'kekurangan vitamin b', 'kekurangan vitamin c b kompleks', 'defisiensi vitamin b']
defisiensi vitamin b1;['defisiensi vit b1', 'defisiensi vitamin b1', 'kekurangan vitamin b1', 'defisiensi vit  b1']
defisiensi vitamin b12;['defisiensi vitamin b12', 'defisiensi vit b12', 'kekurangan vitamin b12']
defisiensi vitamin b6;['defisiensi vit b6', 'defisiensi vitamin b6', 'kekurangan vitamin b6']
defisiensi vitamin d;['kekurangan vitamin d kadar serum 25ohd 30 ngml', 'pasien dengan kekurangan vitamin d', 'kekurangan vitamin d']
defisiensi vitamin e;['defisiensi vitamin e']
defisiensi vitamin neurotropik;['defisiensi vitamin neurotropik']
defisiensi zinc;['defisiensi zinc']
dehidrasi;['dehidrasi sedang', 'dehidrasi', 'dehidrasi ringan']
demam;['demam setelah imunisasi', 'demam pasca vaksinasi', 'sakit demam', 'demam pasca imunisasi', 'demam sesudah imunisasi', 'panas demam', 'demam q', 'demam forte', 'demam akibat pilek', 'demam flu', 'demam paska vaksinasi', 'demam', 'demam menyertai flu', 'dmam', 'nyeri demam', 'demam menyertai flu paska vaksinasi', 'demam vaksinasi', 'demam enterik', 'menurunkan demam', 'demam imunisasi']
demam berdarah;['demam berdarah']
demam pada anak;['demam anak anak', 'demam anak dewasa', 'demam anak', 'menurunkan demam anak', 'demam pada anak', 'demam anakanak']
demam paratifoid;['demam paratifoid', 'paratifoid']
demam scarlet;['demam scarlet']
demam tifoid;['demam tifoid']
dermatitis;['dermatitis terinfeksi bisul', 'dermatitis terinfeksi', 'dermatitis eksfoliatif', 'dermatitis lainnya', 'dermatositosis', 'dermatitis komplikasi infeksi bakterial', 'dermatofitosis', 'dermatitis ekzematous', 'dermatitis alergi', 'eksim dermatitis', 'dermatitis akut', 'dermatitis', 'exfoliative dermatitis', 'dermatitis dengan komplikasi infeksi bakterial', 'pruritik dermatitis', 'dermatitis disertai infeksi']
dermatitis atopik;['dermatitis atopik kontak', 'dermatitis atopik alergi herediterketurunan', 'dermatitis atopic', 'dermatitis kontak atopik', 'dermatitis atopik', 'atopic dermatitis', 'dermatitis kontak maupun atopik', 'ekzema atopik', 'kulit bersisik psoriasis dermatitis atopik']
dermatitis kontak;['dermatitis akut kronik', 'contact dermatitis', 'dermatitis kontak jenis dermatitis', 'dermatitis kontak', 'dermatitis kronik']
dermatitis seboroik;['seborrhoeic dermatitis', 'dermatitis seboroik', 'seboroik', 'demartitis sebaroik ringan']
dermatomikosis;['dermatomikosis']
dermatomiositis;['dermatomiosis', 'dermatomiositis']
dermatosis;['dermatosis alergi', 'dermatosis alergi inflamasi', 'dermatosis bakterial', 'dermatosis lain']
diabetes;['diabetes melitus', 'non insulin dependent diabetes mellitus', 'diabetes obesitas', 'paresis', 'diabetik', 'diabetes mellitus', 'diabetes', 'diabetik gastroparesis berulang', 'diabetik gastro paresis akut', 'insulin dependent diabetes mellitus', 'diabetik gastroparesis akut']
diabetes tipe 1;['diabetes tipe - 1', 'diabetes melitus tipe  1', 'diabetes tipe 1']
diabetes tipe 2;['pasien dm tipe 2', 'dmt2', 'diabetes melitus tipe 1', 'diabetes tipe - 2', 'diabetes tipe 2 terkontrol', 'diabetes tipe 2', 'diabetes melitus tipe 2', 'diabetes miletus tipe 2', 'dm tipe  2', 'tipe 2', 'diabetes melitus tipe  2', 'dm tipe 2', 'diabetes mellitus tipe 2']
diare;['diare anak', 'ecoli', 'diare e coli', 'diare ecoli', 'diare e  coli', 'diare akut kronik', 'diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak', 'diare', 'diare non spesifik', 'diare akut non spesifik kronik', 'diare non  spesifik', 'diare staph', 'diare kronis', 'diare akut', 'diare akut non spesifik', 'diare nonspesifik', 'diare kuman e coli staph kolopati spesifik non spesifik dewasa anak', 'diare mencret', 'mencret', 'diare kronik']
difteri;['difteri faringeal', 'difteri']
discoid;['diskoid', 'discoid', 'dsikoid', 'diskoid lupus eritemmantosus', 'ekzema diskoid']
disentri;['enterokolitis disentri basiler akibat bakteri gram negatif', 'disentri basiler', 'paratifoid disentri basiler', 'disentri basil', 'disentri']
disfungsi ereksi;['disfungsi ereksi']
disfungsi ovulasi;['disovulasi', 'disfungsi ovulasi', 'gangguan ovulasi']
dislipidemia;['dislipidemia campuran', 'dislipidemia', 'dislipidemia campuran fredrickson tipe iia iib', 'dislipidemia campuran tipe iib']
dismenore;['sakit haid', 'dismenorea', 'nyeri waktu haid', 'dismenorea primer', 'dysmenorrhea', 'disumenore', 'dismenore pasca operasi', 'dismenore primer', 'disenore', 'dismenore', 'nyeri dismenore primer', 'disenore nyeri haid', 'dismenor primer', 'nyeri dismenore', 'haid', 'nyeri haid', 'dysmenorrhea primer', 'nyeri haid dismenore primer', 'nyeri haid primer', 'keram saat haid', 'dismenore nyeri saat haid', 'nyeri haid dysmenorrhea primer', 'dismenore nyeri haid']
edema;['edema inflamasi', 'edema asites', 'edema gagal jantung kongestif', 'edema akibat chf', 'edema']
ejakulasi dini;['ejakulasi dini']
eksaserbasi;['eksaserbasi', 'eksaserbasi bakteri akut', 'eksaserbasi akut']
eksema;['ekzema bernanah']
emboli;['embolus paru', 'embolus sistemik', 'emboli serebral', 'emboli']
emfisema;['gangguan bronkhopulmoner', 'emfisema gangguan bronkhopulmoner', 'batuk emphysema', 'emfisema penyakit paru komplikasi bronkhospasme', 'emfisema dengan bronkitis', 'ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi', 'emphysema', 'pulmonari emfisema', 'enfisema', 'emfisema paru', 'emfisema']
empiema;['emfiema']
endokarditis;['endokarditis']
endometriosis;['endometriosis']
endometritis;['endometritis']
ensefalitis;['toksoplasmik ensefalitis']
ensefalopati;['ensefalopati', 'ensefalopati portal sistemik', 'ensefalopati portalsistemik', 'portal systemic encephalopathy', 'ensefalopati portal', 'ensefalopati portal  sistemik', 'encephalopathy', 'portal sistemik', 'ensefalopati portal sistemik kronik']
epididimitis;['epididimitis']
epididimo-orkitis;['epididimo orkitis', 'epididimo-orkitis']
episkleritis;['episkleritis', 'episcleritis', 'episklerit']
erosi kornea;['erosi kornea']
esofagitis;['peptik eosifagitis', 'peptik esofagitis', 'esofagitis', 'eosifagitis', 'esophagitis']
faringitis;['faringitis tonsilitis', 'faringitis', 'pharingitis', 'faringitis tonsilitis streptokokus']
