standardized_disease;list_of_diseases_fuzzy_tfidf_1
osteomielitis;['infeksi osteomielitis radang sumsum tulang', 'osteomielitis radang sumsum tulang', 'osteomielitisradang sumsum tulang', 'infeksi osteomielitis', 'osteomielitis akut', 'osteomielitis radang sumsum tulang akut', 'intra abdominal osteomielitis', 'osteomielitis']
osteopetrosis;['osteopetrosis']
osteoporosis;['ostoroposis tulang', 'osteoporosis paska menopause']
otitis eksterna;['otitis externa', 'otitis eksterna akut', 'otitis externa akut khronik', 'otitis externa akut', 'otitis externa atau peradangan pada telinga bagian luar', 'otitis externa peradangan telinga bagian luar', 'otitis eksterna', 'otitis eksterna kronik', 'otitis externa khronik', 'otitis eksterna kronis']
otitis media;['otitis media radang telinga tengah akut', 'otitis media supuratif', 'otitis media kronis', 'otitis medium akuta', 'otitis media', 'otitis medium sal nafas', 'otitis media akut', 'otitis medium akut', 'otitis medium', 'otitis media supuratif kronik', 'otitis', 'medium', 'otitis media radang rongga gendang telinga', 'infeksi tht otitis medium akut sinusitis akut', 'otitis medium radang rongga gendang telinga', 'infeksi gl otitis medium bekterial']
otomikosis;['otomikosis']
panas;['panas disertai tenggorokan kering', 'panas']
panas dalam;['panas dalam']
pankreatitis akut;['pankreatitis akut', 'pankreatitis']
panu;['panu', 'tinea versicolor panu']
paratifus;['tifoid paratifoid', 'paratifus', 'tifus epidemi', 'go infeksi gl tifoid paratifoid', 'tifus  paratifus', 'tifoid', 'demam tifus paratifus', 'demam tifoid paratifoid', 'tifus dan paratifus', 'demam paratifus', 'tifus paratifus']
paronikia;['paronikia', 'paronikhia']
parotitis;['parotitis']
pembengkakan;['pembengkakan rambut', 'pembengkakan']
pembengkakan otak;['pembengkakan otak']
pembengkakan pasca bedah;['pembengkakan pasca bedah']
pembengkakan pasca trauma;['pembengkakan pasca trauma']
pembengkakan prostat;['pembengkakan prostat']
pendaharan;['perdarahan']
pendaharan hidung;['perdarahan hidung']
penyakit akibat virus;['penyakit virus', 'virus jamur', 'virus', 'penyakit virus lainnya', 'virus superfisial']
penyakit arteri koroner;['penyakit arteri koroner stabil', 'penyakit arteri koroner']
penyakit arteri perifer;['penyakit arteri', 'penyakit arteri perifer', 'oklusi arteri perifer kronis']
penyakit behcet;['penyakit behcet']
penyakit crohn;['penyakit crohn ringan sedang', 'crohn']
penyakit gigi;['penyakit gigi gusi', 'penyakit gigi']
penyakit ginjal;['penyakit ginjal hati', 'penyakit ginjal', 'penyakit ginjal kronik', 'penyakit ginjal stadium ginjal']
penyakit hati;['penyakit hati', 'penyakit hati akut kronis']
penyakit infeksi;['penyakit infeksi ringan', 'penyakit infeksi kulit', 'penyakit infeksi hpylori', 'penyakit infeksi', 'infeksi penyakit eksaserbasi akut']
penyakit jantung;['penyakit jantung', 'penyakit jantung hati']
penyakit jantung koroner;['penyakit jantung koroner', 'penyakit koroner kronik']
penyakit kulit;['penyakit dermatologik lain', 'penyakit kulit lain', 'penyakit kulit dengan peradangan', 'penyakit kkulit', 'penyakit kulit', 'penyakit infeksi kulit jaringan lunak', 'penyakit kulit janggut jamur', 'penyakit kulit jaringan lunak', 'penyakit kulit lainnya']
penyakit liver;['penyakit liver']
penyakit mata;['penyakit mata']
penyakit meniere;['gangguan meniere', 'sindrom meniere s', 'penyakit meniere', 'sindrom meniere', 'sindroma meniere', 'meniere', 'penyakit meniere s']
penyakit menular seksual;['penyakit menular seksual', 'penyakit hubungan seksual']
penyakit paget;['penyakit paget']
penyakit paru obstruktif kronis;['obstruksi saluran napa reversible asma', 'obstruksi saluran nafas', 'penyakit2 obstruksi saluran nafas', 'penyakit paru obstruktif kronis eksaserbasi akut', 'penyakit paru obstruktif kronis', 'obstruksi saluran napa', 'paru obstruktif kronik', 'penyakit paru obstruktif kronik (ppok)', 'penyakit paru obstruktif kronik ppok', 'penyakit paru', 'obstruksi saluran nafas kronik', 'penyakit paru obstruktif kronik', 'penyakit2 paru']
penyakit pes;['penyakit pes']
penyakit saluran empedu;['penyakit2 kandung empedu saluran empedu']
penyakit saluran pernapasan;['penyakit pernapasan akut kronik', 'penyakit saluran nafas akut', 'penyakit saluran pernafasan', 'penyakit saluran pernafasan akut kronik', 'penyakit saluran pernafasan kronik', 'penyakit saluran pernafasan kronis', 'pernapasan akut kronik', 'penyakit saluran nafas', 'penyakit saluran nafas akut kronik', 'penyakit saluran nafas kronik', 'penyakit saluran napa akut kronik', 'penyakit saluran napas akut khronik', 'penyakit saluran napa', 'penyakitpenyakit saluran pernafasan akut kronis', 'penyakit disebabkan oleh virus saluran napas', 'penyakit saluran napas atas lain', 'penyakit disebabkan oleh virus saluran nafas', 'penyakit saluran pernafasan akut']
penyakit saraf;['penyakit saraf']
penyakit tulang;['sakit tulang']
penyempitan saluran napas;['penyakit penyumbatan saluran nafas', 'penyempitan saluran napas', 'sumbatan saluran napas', 'penyumbatan saluran nafas']
peradangan operasi gigi;['peradangan operasi gigi']
perdarahan gastrointestinal;['perdarahan gastrointestinal']
perdarahan saluran pencernaan;['perdarahan saluran pencernaan', 'perdarahan saluran cerna atas']
perdarahan subarachnoid;['perdarahan subarachnoid', 'pendarahan subarakhnoid']
periartritis;['periartritis pinggul', 'periartritis bahu', 'periartritis']
perikarditis;['perikarditis']
periodontitis;['periodontitis', 'priodontitis']
peritonitis;['peritoditis', 'radang selaput perut', 'peritonitis', 'peritonitis radang selaput perut']
perut kembung;['perut kembung masuk angin', 'rasa kembung', 'kembung', 'kembung rasa tidak nyaman perut', 'perut kembung', 'gejala masuk angin seperti perut kembung mual', 'peredangan perut kembung']
pilek;['pilek', 'pilek alergi', 'pilek rinorea', 'pilek anakanak']
pirosis;['pirosis']
pitiriasis kapitis;['pitiriasis kapitis']
plak mulut;['akumulasi plak rongga mulut']
pleuritis;['pleuritis']
plineuritis;['plineuritis', 'b12 plineuritis neuralgia']
pneumonia;['s.pneumoniae', 'pneumonia bakteri', 'pneumonia komuniti', 'pneumonia dr lingkungan', 'pneumonia saluran napa', 'pneumonia nosokomial', 'pneumonia masyarakat', 'pneumonia atipik primer', 'pneumonia komunitas communityacquired pneumonia', 'pneumonitis anaerob', 'pneumonia faringitis', 'pneumonia strep hemolitikus', 'pneumonia didapat dari lingkungan', 'pneumonia komunitas', 'pneumonia', 'kuman h influenzae s pneumoniae', 'pneumonia akibat streptococcus', 'streptococus pneumonia', 'pneumonia akut', 's pneumoniae', 'acquired pneumonia', 'pneumonia cystitis', 'pneumonia akibat lingkungan', 'pneumonia lingkungan', 's  pneumoniae', 'pneumonia yang didapat dari lingkungan', 'streptococcus pneumoniae']
pneumonia aspirasi;['pneumonia aspirasi']
polineuritis;['polineuritis', 'polyneuritis']
polineuropati diabetik;['polineuropati diabetikum', 'polineuropati diabetik']
polip;['polip']
polip hidung;['polip hidung']
polip usus;['polip usus besar']
polisitemia vera;['polisitemia vera']
proktitis;['proktitis']
prostatitis;['prostatitis', 'prostatitis bakterial kronik', 'isk prostatitis', 'pielitis prostatitis akut kronis', 'prostatitis akut', 'prostatitis bakteri kronis']
prurigo;['prurigo', 'ekzema prurigo']
pruritus;['pruritus pada urtikaria khronik idiopathik', 'pruritus di anus', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'pruritus urtikaria khronik idiopathik', 'pruritus gatalgatal anus vulvagenital external wanita', 'pruritus', 'alergi pruritis', 'pruritis anogenital', 'pruritis', 'pruritus alergi', 'pruritus anus', 'pruritus anogenital', 'pruritus anogential', 'urtikaria khronik idiopathik', 'pruritis ani']
psikosis;['psikosis']
psitakosis;['psittacosis', 'limfogranuloma psittacosis', 'limfogranuloma psitakosis', 'psithachosis', 'psitakosis', 'lympogranulloma psittacosis']
psoriasis;['inflamasi psoriasis', 'vulva psoriasis', 'psoriasis ', 'psoriasis', 'psoriasis kecuali plak', 'lesi psoriasis', 'psoriasis diskoid']
punggung pegal dan kaku;['punggung pegal']
pusing;['capek pusing', 'pusingpusing', 'pusingmigren', 'pusing', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah', 'pusing vestibular', 'kepala pusing', 'pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah']
rachitis;['rachitis']
radang;['radang akut', 'radang', 'radang akut yang berat', 'radang akibat amandel', 'radang akut berat', 'peradangan']
radang ginjal;['radang pasu ginjal', 'pielonefritis radang ginjal serentak radang pasu ginjal', 'radang ginjal']
radang gusi;['radang gusi']
radang hati;['peradangan hati']
radang hidung;['peradangan hidung']
radang jaringan kuku;['radang jaringan kuku']
radang kulit;['radang kulit', 'radang kkulit']
radang mata;['radang selaput ikat mata', 'gangguan radang mata', 'radang mata akibat reaksi alergi', 'penyakit radang mata', 'radang kornea mata', 'radang selaput bening mata', 'radang kantung air mata', 'radang kelopak mata', 'radang saraf mata', 'peradangan selaput mata', 'peradangan mata']
radang mulut;['radang mulut', 'peradangan radang mulut', 'radang selaput lendir mulut', 'peradangan rongga mulut tenggorokan']
radang otot;['radang otot']
radang panggul;['penyakit radang panggul']
radang pankreas;['radang pankreas']
radang prostat;['radang prostat']
radang saluran pernapasan;['radang saluran nafas', 'peradangan saluran pernafasan bagian atas', 'radang ringan saluran nafas']
radang saraf;['radang saraf']
radang sendi;['radang sendi', 'peradangan sendi']
radang sumsum tulang;['radang sumsum tulang', 'radang sumsum tulang akut']
radang telinga;['radang telinga akut kronis', 'radang telinga bagian luar', 'radang telinga bagian luar tengah', 'radang telinga bagian tengah', 'radang telinga tengah', 'inflamasi radang telinga', 'radang telinga bagian luar  tengah', 'radang rongga gendang telinga']
radang tenggorokan;['radang tenggorokan']
radang usus;['radang usus', 'radang usus halus', 'radang usus peradangan usus', 'radang pada usus']
rakitis;['rakhitis', 'rickets', 'rakhitis akibat defisiensi vit d', 'rachitis rickets', 'penyakit rickets', 'rakhitis akibat defisiensi vit  d']
rambut rontok;['kerontokan rambut', 'rambut rontok']
reactive arthritis;['reactive arthritis']
rematik;['reumatik non sendi', 'nonartikular reumatik', 'nyeri penyakit reumatik', 'rematik nonartikular', 'reumatik sendi', 'rematik tulang', 'reumatik', 'nyeri reumatik', 'rematik', 'rematik non artikular', 'rheumatik', 'penyakit reumatik', 'reumatik non artikular', 'renatik tulang', 'reumatik tulang', 'reumatik nonartikular', 'non artikular reumatik', 'reumatik jaringan lunak terlokalisir']
retensi urin pasca operasi;['retensi urin pasca operasi']
rheumatoid arthritis;['nyeri rematoid atritis akut', 'rematik artritis', 'ar', 'inflamasi degeneratif artritis rematoid', 'artritis rematoid aktif', 'reumatoid atritis akut', 'ra', 'reumatoid atritis', 'reumatoid arthritis', 'rematoid atritis akut', 'artritis rematoid', 'arthritis rheumatoid', 'gejala artritis reumatoid', 'reumatoid artritis kronis', 'reumatoid atritis akut kronis', 'reumatoid artritis akut kronis', 'rematoid atritis akut kronis', 'rematoid atritis kronis', 'reumatoid artritis', 'rheumatoid artritis', 'artritis rheumatoid', 'reumatoid artritis akut', 'rematoid artritis', 'rematoid athritis', 'rematoid', 'artritis rheumatoid juvenil', 'rheumatoid arthritis', 'arthritis reumatoid ar', 'reumatoid atritis kronis', 'gejala juvenile artritis reumatoid', 'juvenile artritis reumatoid', 'arthritis reumatoid', 'artritis reumatoid', 'nyeri rematoid atritis kronis', 'rheumatoid arthritis ra', 'arthritis reumatik', 'atritis rematoid', 'rheumatoid arthritis poliartritis kronik', 'reumatik generatif atritis rematoid', 'pasien rematoid atritis akut kronis']
rhinitis;['rinitis purulen', 'vasomotor rhinitis', 'perennial rhinitis', 'rhinitis', 'rhinitis vasomotor', 'rinitis menahun']
rhinitis alergi;['rinitis alergi musiman tahunan', 'rinitis alergi seasonal perenial', 'rinitis alergi menahun musiman', 'rinitis alergi konjungtivitis', 'rinitis', 'rinitis alergi musiman perennial', 'rinitis alergi persisten', 'allergic rhinitis', 'alergi rhinitis', 'alergi rinitis nasal  nonnasal', 'rinitis alergi', 'rinitis intermiten', 'rinitis alergika', 'rinitis persisten', 'rinitis alergi seasonal', 'rinitis alergi tahunan musiman', 'alergi rinitis nasal nonnasal', 'alergi rinitis intermiten persisten  menerus', 'alergi rinitis intermiten persisten menerus', 'rinitis perenial', 'alergi rinitis intermitensewaktu', 'rinitis alergi nasal', 'rhinitis alergi', 'alergi rinitis persistenterusmenerus', 'alergi rinitis', 'alergi hidung', 'rhinitis alergika', 'rinitis alergi perenial', 'alergi pernafasan', 'rinitis alergi musiman', 'alergi rinitis perenial']
riketsiosis;['riketsiosis']
ruam merah;['kemerahan', 'ruam merah', 'merah', 'bercak merah', 'kemerahan keadaan inflamasi', 'merah iritasi']
ruam popok;['ruam popok']
sakit gigi;['sakit saat pertumbuhan gigi', 'sakit gigi nyeri ringan', 'sakit gigi']
sakit kepala;['sakit kepala derajat sedang', 'sakit kepala vaskular', 'sakit kepala sebelah', 'nyeri sakit kepala', 'skit kepala', 'sakit kepala kekakuan otot', 'sakit kepala', 'sakit kepala sakit gigi']
sakit maag;['sakit maag', 'maag']
sakit otot;['sakit otot']
sakit perut;['sakit perut']
sakit pinggang;['sakit otot pinggang', 'sakit pinggan', 'sakit pinggang']
sakit punggung;['sakit punggung bagian bawah', 'sakit punggung bawah', 'sakit punggung']
sakit sendi;['sakit sendi']
sakit tenggorokan;['rasa sakit tenggorokan', 'sakt tenggorokan', 'rasa sakit di tenggorokan', 'sakit tenggorokan']
salpingitis;['salpingitis']
sariawan;['tukak sariawan', 'panas dalam disertai sariawan', 'nyeri akibat sariawan', 'sariawan']
selulitis;['selulitis pelvis pasca operasi vagina', 'selulitis pelvis', 'selulitis']
sendi kaku;['kekakuan sendi']
sepsis;['sepsis intra abdominal', 'sepsis puerperal', 'sepsis intraabdominal', 'sepsis', 'sepsis purpura']
septic arthritis;['artritis septik osteomielitis', 'artritis septik']
septikemia;['septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut', 'septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut']
serangan jantung;['serangan jantung']
servisitis;['uretritis servisitis', 'uretritis servisitis go', 'cervicitis', 'servisitis go', 'servisitis komplikasi', 'servisitis sal pernafasan kecuali disebabkan streptococus', 'infeksi servisitis non gonokokal', 'servisitis sal pernafasan', 'servisitis', 'uretritis go servisitis komplikasi']
sesak napas;['mengi sesak napas paruparu asma', 'sesak napas', 'sesak nafas', 'sesak']
sifilis;['sipilis', 'sifilis']
sindrom nefrotik;['sindroma nefrotik', 'sindrom nefrotik']
sindrom raynaud;['fenomena raynaud', 'sindrom raynaud', 'sindroma raynaud']
sindrom zollinger-ellison;['sindrom zollinger', 'sindrom zollinger ellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'hipersekreasi patologis seperti sindroma zollingerellison', 'sindroma zollingerellison', 'hipersekresi patologis sindroma zollinger ellison', 'sindrom zollinger-ellison', 'sindrom zollingerellison adenoma endokrin multiple', 'sindrom zollingerellison', 'zollinger ellison syndrome', 'sindroma zollinger ellison pendarahan gi', 'hipersekreasi patologis sindrom zollinger ellison', 'sindroma zollinger ellison', 'sindroma zollingerellison pendarahan gi', 'hipersekrese patologis sindroma zollinger ellison']
sindroma leher;['sindroma leher']
sinusitis;['sinusitis maxillary akut', 'sinusitis', 'sinusitis bakterial akut', 'sistitis', 'sinusitis akut', 'sinusitus', 'sinusitis alergi', 'sinusitis maksilaris akut', 'sinusitis maksilaris']
sirosis;['sirosis hepatik', 'sirosis hati', 'sirosis']
skiatika;['skiatika']
skleritis;['skleritis']
skorbut;['skorbut']
spondilartritis;['spondilartritis']
spondilitis deformans;['spondilitis deformans']
stenosis pilorus;['stenosis pilorik bersifat ringan', 'stenosis pylorus', 'stenosis pilorik', 'stenosis pilorus']
stres;['stress', 'stres']
stroke;['stroke']
stroke iskemik;['stroke iskemik', 'stroke iskhemik', 'gejala iskhemik']
takikardia;['takikardia atrial ektopik', 'takikardia', 'takikardia supraventrikular paroksismal', 'takikardia supraventrikuler paroksismal']
tbc (tuberkulosis);['tuberkulosis paru', 'tbc infeksi mikobakterial', 'tbc', 'tbc paru paru', 'tbc paru', 'mycobacterium tuberculosis', 'tuberkulosa paru', 'tb paru']
tendinitis;['tendinitis']
tendovaginitis;['tendovaginitis']
tenggorokan gatal;['tenggorokan gatal']
tenggorokan kering;['tenggorokan kering']
tetanus;['tetanus']
tifus;['profilaksis scrub tifus', 'tifus', 'demam tifus', 'scrub tifus']
tinea barbae;['sikosis barbae', 'tinea barbae']
tinea capitis;['tinea kapitis', 'tinea capitis', 'dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis']
tinea corporis;['tinea kruris korporis', 'tinea korporis kurap', 'tinea corporis', 'tinea corporis kurap', 'tinea korporis']
tinea cruris;['tinea cruris', 'tinea cruris gatal jamur selangkangan', 'tinea kuris']
tinnitus;['tinitus', 'telinga berdengung tinnitus', 'tinnitus', 'telinga berdengung', 'tinitus telinga berdenging']
tirotoksikosis;['tirotoksikosis feokhromositoma', 'tirotoksikosis']
toksoplasmosis;['infeksi toxoplasmosis', 'profilaksis toksoplasmosis wanita hamil', 'toxoplasmosis', 'toksoplasmosis', 'infeksi toksoplasmosis']
trakhitis;['trakhitis']
tremor esensial;['tremor esensial']
trikomoniasis;['trikomoniasis', 'trikomoniasis salurah kemih kelamin']
tromboflebitis;['tromboflebitis']
trombositemia;['trombositemia']
trombositopenia;['trombositopenia']
tukak lambung;['tukak lambung jinak tukak pasca operasi', 'ulkus lambung usus halus', 'luka lambung', 'penyakit lambung usus halus', 'tukak lambung duodenum', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'tukak kulit', 'tukak lambung tukak usus halus', 'tukak lambung aktif', 'tukak lambung usus', 'seperli tukak lambung', 'tukak lambung danatau usus halus', 'tukak lambung', 'tukak lambung jinak', 'tukak lambung tukak duodenum', 'tukak peptik', 'tukak', 'tukak lambung ringan', 'tukak ulkus lambung usus halus', 'tukak lambung ulkus peptik', 'tukak duodenum tukak lambung ringan', 'ulkus lambung', 'ulkus tukak lambung', 'tukak lambung usus duabelas jari', 'tukak ulkus lambung', 'lesi lambung', 'pasien tukak lambung', 'tukak khronik', 'ulkus tukak lambung usus halus', 'ulkus peptik']
tukak pasca operasi;['tukak pasca operasi']
tumor;['tumor jinak', 'tumor']
ulkus;['ulkus']
ulkus dekubitus;['ulkus dekubitus']
ulkus duodenum;['ulkus deudenum', 'tukak usus belas jari', 'tukak duodenal', 'ulus duodenum aktif', 'ulkus aktif usus halus duodenum', 'luka duodenal', 'tukak usus 12 jari lambung', 'ulkus tukak usus halus', 'ulkus tukak usus halus aktif', 'tukak usus belas jari aktif', 'lesi duodenum', 'ulkus usus halus duodenum', 'ulkus duodenal', 'tukak usus', 'ulcus duodenal', 'tuka duodenal', 'terapi ulkus usus halus duodenum paska aktifnya', 'tukak usus dua belas jari', 'ulkus duodenum aktif', 'tukak usus halus', 'tukak usus 12 jari', 'ulkus duodenum', 'tukak duodenum akut', 'tukak duodenum']
ulkus genital;['penyakit ulkus genital', 'penyakit ulkus genital orang dewasa']
ulkus kornea;['luka kornea', 'tukak kornea mata', 'ulkus pada kornea', 'ulkus kornea', 'tukak kornea']
uretritis;['uretritis nongonococcal', 'urethritis vaginitis', 'uritritis non gonokokal', 'urethritis', 'uretritis nongonokokus', 'uretritis non go', 'uritritis', 'urethris', 'protozoa uretritis', 'gi uretritis', 'gi uretritis servisitis go', 'uretritis', 'infeksi uretritis']
urogenital trichomoniasis;['trikomoniasis sal kemih kelamin', 'urogenital trichomoniasis']
urtikaria;['alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis', 'urtikaria kronik', 'urtikaria', 'manifestasi alergi kulit urtikaria', 'alergi urtikaria', 'urtikaria khronik', 'rinitis urtikaria', 'cold urtikaria', 'urtikaria kronis']
uveitis;['chronic anterior uveitis', 'uveitis']
vaginitis;['vaginitis trichomonas', 'vaginitis kandida', 'vaginitis nonspesifik', 'vaginitis', 'vaginitis trichomonas vaginalis']
vaginosis bakterialis;['vaginosis bakterialis', 'bacterial vaginosis']
varicela;['varicella zoster', 'varicela', 'varicella', 'varisela']
varises;['varises', 'tukak trofik varises']
vertigo;['vertigo', 'vertigo perifer']
vulvitis;['vulvitis', 'vulvitas']
wasir (ambeien);['wasir akut', 'wasir ambeien', 'wasir (ambeien)', 'wasir kronis menahun', 'wasir', 'ambien wasir', 'wasir kronik', 'hemoroid eksterna', 'gejala wasir', 'nyeri panas pendarahan akibat wasir', 'wasir kronik akut']
