standardized_disease;list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy
gangguan keseimbangan;['gangguan keseimbangan', 'gangguan keseimbangan hormonal', 'gangguan hormonal']
gangguan kulit;['gangguan kulit']
gangguan memori;['gangguan memori tidur', 'gangguan memori']
gangguan metabolik;['gangguan vaskulo metabolik perifer akut khronik', 'gangguan vaskulo metabolik serebral akut khronik', 'gangguan metabolisme', 'gangguan metabolik', 'gangguan metabolisme otot jantung']
gangguan muskuloskeletal;['gangguan musculoskeletal akut gout akut', 'gangguan muskuloskeletal akut', 'gangguan muskulosketal akut', 'gangguan musculoskeletal akut']
gangguan panik;['gangguan panik']
gangguan pencernaan;['gangguan lambungusus', 'gangguan pencernaan fungsional', 'gangguan pada pencernaan', 'dispepsia gangguan pencernaan neurogenik', 'gangguan pencernaan', 'gangguan pencernaan neurogenik', 'gangguan lambung', 'gangguan saluran cerna','dispepsiagangguan pencernaan']
gangguan pendengaran;['gangguan pendengaran']
gangguan peradangan okular;['gangguan peradangan okular']
gangguan pernapasan;['gangguan saluran napa', 'gangguan saluran pernafasan kronik', 'gangguan saluran nafas kronis', 'sekretolitik gangguan saluran napa akut khronik', 'gangguan saluran nafas khronik', 'gangguan saluran pernapasan akut kronik', 'gangguan pernafasan akibat rokok', 'gangguan saluran pernafasan', 'gangguan saluran pernapasan', 'gangguan saluran napa akut khronik', 'gangguan pernapasan', 'gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular', 'gangguan saluran pernafasan akut', 'gangguan pernafasan', 'gangguan saluran pernafasan disebabkan dahak mukus', 'gangguan saluran nafas akut', 'gangguan saluran pernafasan akut kronik', 'gangguan saluran nafas akut kronis', 'gangguan pernapasan akut kronis', 'gangguan di saluran pernafasan']
gangguan prostat;['gangguan prostat']
gangguan saluran gastrointestinal;['gangguan gi mual', 'gi', 'gangguan gi']
gangguan saluran kemih;['gangguan saluran kemih bagian bawah', 'gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak']
gangguan saraf;['gangguan sistem syaraf','gangguan sistem saraf tepi', 'gangguan sistem saraf perifer', 'gangguan saraf', 'gangguan saraf perifer']
gangguan sirkulasi;['gangguan peredaran darah otak perifer','gangguan peredaran darah serebral perifer','gangguan aliran darah','gangguan peredaran darah kakivarises','gangguan peredaran darah otak', 'gangguan peredaran darah kaki','gangguan peredaran darah','gangguan sirkulasi serebral vestibular', 'gangguan peredaran darah perifer', 'gangguan sirkulasi perifer arteriopati organik', 'gangguan sirkulasi serebral otak', 'gangguan sirkulasi darah otak', 'kelainan sirkulasi perifer serebral', 'gangguan sirkulasi darah perifer', 'gangguan sistem sirkulasi perifer', 'gangguan sirkulasi', 'sirkulasi perifer', 'sirkulasi serebral perifer', 'gangguan sirkulasi perifer', 'gangguan sirkulasi darah perifer serebral', 'gangguan sirkulasi serebralpada otak', 'gangguan sirkulasi serebral', 'gangguan sirkulasi darah pembuluh darah tepi']
gangguan spastik;['gangguan spastik', 'gangguan spastik saluran genital wanita', 'gangguan spastik saluran kemih', 'gangguan spastik saluran cerna', 'gangguan spastik saluran empedu']
gangguan tidur;['sulit tidur', 'gangguan irama tidur', 'susah tidur', 'gangguan sulit tidur', 'gangguan tidur', 'gangguan ritme tidur']
gangguan tropik;['gangguan trofik', 'gangguan tropik']
gangguan vestibular;['gangguan vestibular', 'gangguan vaskular vestibular']
gangrene;['ganggren', 'gangrene']
gastritis;['ulkus gastritis', 'antasida gastritis', 'gastritis', 'gastritis kronik', 'gastritis kronik sd 8 minggu', 'penuh lambung gastritis', 'gastritis tukak lambung tukak usus dua belas jari', 'gastritis alkoholisme khronik', 'gastristis', 'gastritis kronis']
gastroenteritis;['gastroenteritis anak', 'gastroenteritis', 'gastroenteritis bayi']
gastroparesis;['gastroparesis akut dan berulang', 'gastroparesis diabetikum akut rekuren', 'gastroparesis', 'gastroparesis berulang', 'gastroparesis diabetikum', 'gastroparesis diabetikum akut berulang', 'gastroparesis akut berulang', 'gastroparesis akut']
gatal;['gatal', 'gatalgatal', 'gatal tidak nyaman vagina', 'gatal2', 'gatal gatal', 'urtikaria gatal gatal', 'gatalgatal kaki', 'gatal jamur kulit', 'rasa gatal', 'sakit gigi gatal gatal', 'gatal dengan luka ringan', 'gatal kulit', 'gatalgatal disebabkan oleh infeksi jamur', 'inflamasi gatal gatal']
gerd;['gangguan refluks non erosive', 'esofagitis berat', 'refluks esofagitis erosif', 'rasa panas ulu hatikerongkongan akibat reflux esofagitis', 'reflux', 'esofagitis erosifulseratif', 'esofangeal', 'esofageal', 'refluks esofagitis erosif atau ulseratif', 'reflux esofagitis', 'nonerosive reflux disease nerd', 'reflux esophagitis sedang dan berat', 'refluks esofagitis erosifulseratif', 'refluks esofagitis', 'asofangeal', 'inflamasi esofagus', 'refluks', 'reflux gastroesofagitis', 'refluks esofagitis erosif ulseratif', 'gastroesophageal reflux disease gerd', 'refluks esofagitis berat', 'refluks gastroesofagus erosif', 'gerd', 'nonerosive reflux disease', 'refluks esofagus', 'simtomatik gerd', 'reflucks esofagitis', 'refluks esophagitis', 'reflucks', 'gastroesophageal reflux disease', 'reflux esofagitis erosifulseratif', 'inflamasi esofagus refluks esofagus', 'esofagitis erosif', 'refluks gastroesofagus yang erosif', 'reflux esophagitis sedang berat', 'refluks gastroesofagitis', 'refluks gastroesofagus']
giardiasis;['giardia lambliasis', 'giardiasis', 'giardia']
gigi berlubang;['gigi berlubang']
gigitan serangga;['gatalgatal akibat gigitan serangga dan nyamuk', 'gatal gigitan serangga', 'gatal  gatal gigit serangga', 'gatal akibat gigitan nyamukserangga', 'gatalgatal karena gigitan serangga', 'gatalgatal akibat gigitan serangganyamuk', 'digigit serangga', 'gigitan nyamuk', 'gigitan nyamukserangga', 'gatalgatal akibat digigit serangga', 'gatal gigitan serangga dan nyamuk', 'gigitan nyamuk  serangga', 'gatalgatal gigitan serangga nyamuk', 'gatal karena gigitan serangga', 'gatal akibat digigit serangga', 'serangga', 'gatalgatal karena gigitan serangga atau nyamuk', 'gatal akibat gigitan seranggga', 'gigitan nyamuk serangga', 'gigitan nyamuk bahkan nyamuk demam berdarah', 'gatalgatal akibat gigitan serangga atau nyamuk', 'gatalgatal akibat gigitan serangga nyamuk', 'gigitan nyamuk/serangga', 'gatal biang keringet udara panas gigitan serangga', 'gatal karena biang keringet udara panas gigitan serangga', 'gigitan serangga', 'gatal gigitan serangga nyamuk', 'gatalgatal akibat gigitan serangga', 'gatal akibat gigitan serangga', 'gatalgatal gigitan serangga', 'gatal gatal gigit serangga']
glaukoma;['glaukoma simplek kronis', 'glaukoma sudutterbuka', 'glaukoma sudut terbuka kronis', 'glaukoma sudut tertutup', 'glaukoma sudut terbuka khronis', 'glaukoma', 'aphakic glukoma', 'glaukoma sekunder', 'glaukoma sudut terbuka', 'glaukoma sudut  terbuka', 'glaukoma sudut terbuka hipertensi okular', 'glaukoma sudut  terbuka khronis', 'glukoma sudut terbuka kronis', 'glaukoma sudut  terbuka hipertensi okular', 'glukoma']
gonore;['eritritis pielonefritis gonore', 'gonorhea tidak terkomplikasi infeksi kulit jaringan lunak', 'n gonorrhoae', 'gonore tidak terkomplikasi', 'uretritis gonore', 'gonorrhea', 'go infeksi', 'gonorrhoeae', 'gonorrhoea acute tidak terkomplikasi', 'gonorrhoea tidak terkomplikasi', 'gonore akut', 'neisseria gonorrhoea', 'gogonorea tanpa komplikasi', 'gonore', 'gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak', 'gonore komplikasi', 'gonorrhoea', 'uretritis non gonore', 'gonorea', 'gonorea tanpa komplikasi', 'go', 'gonorrhoea akut tidak terkomplikasi', 'uretritis servisitis gonore', 'uretritis gonore servisitis komplikasi', 'n gonorrhoea', 'go akut', 'gonorrhea komplikasi']
granuloma inguinale;['granuloma inguinale']
gusi bengkak;['gusi bengkak']
hematoma;['hematoma']
hepatitis;['profilaksis infeksi hepatitis', 'hepatitis', 'hepatitis virus', 'hepatitis alkoholik', 'virus hepatitis b']
hepatitis b;['infeksi virus hepatitis b kronik', 'virus hepatitis b kronik', 'hepatitis b kronik']
hernia;['hernia', 'hernia peptik']
hernia hiatus;['hernia hiatus', 'hiatus hernia', 'hiatus', 'hiatus hernis']
hernia nukleus pulposus;['hernia neukleus pulposus']
herpes;['virus herpes', 'infeksi rekuren herpes labialis', 'herpes labialis']
herpes genital (herpes simplex);['infeksi virus herpes simpleks kulit selaput lendir', 'infeksi herpes simplex', 'supresi kekambuhan infeksi herpes simplex', 'herpes genital awal rekuren', 'herpes ginital', 'infeksi rekuren herpes genital', 'infeksi herpes simplex pada kulit', 'herpes genital awal', 'virus herpes simpleks', 'herpes simpleks kulit membran mukosa', 'herpes genital rekuren', 'pencegahan infeksi herpes simplex', 'infeksi awal herpes genital', 'herpes simplek pada kulit', 'herpes simplek kulit', 'infeksi herpes simpleks kulit', 'herpes genital berulang', 'herpes simplex dan zoster', 'herpes simpleks', 'infeksi virus herpes simplex kulit membran mukosa', 'lichen simplek', 'herpes simplex tipe 1  2', 'infeksi herpes simplex kulit', 'herpes simplex zoster', 'infeksi herpes simpleks pada kulit', 'rekuren', 'herpes genitalis', 'herpes simplex tipe 1 2', 'herpes genital', 'herpes simplex tipe 2', 'herpes genital awal dan rekuren', 'herpes ginital awal', 'herpes simplex', 'infeksi virus herpes simpleks pada kulit dan selaput lendir', 'infeksi virus herpes simpleks', 'herpes simplek', 'infeksi awal herpes labialis', 'infeksi virus herpes simpleks kulit membran mukosa', 'alergi kulit selaput lendir', 'herpes genital awal  rekuren', 'herpes simplex tipe 1']
herpes zoster;['herpes zoster', 'zoster', 'infeksi virus herpes zoster']
hidung tersumbat;['hidung tersumbat pilek', 'tenggorokan hidung tersumbat', 'hidung tersumbat/gatal', 'gatal hidung tenggorokan', 'gatal hidung', 'hidung berair tersumbat', 'hidung berair', 'hidung tersumbat', 'hidung tersumbat bersinbersin', 'hidung tersumbatgatal', 'pilek gatal hidung', 'tersumbat']
hiperasiditas gastrointestinal;['hiperasiditas kembung', 'hiperasiditas', 'hiperasiditas pencernaan', 'hiperasiditas gastrointestinal', 'hiperasiditas lambung saluran cerna', 'hiperasiditas lambung']
hiperemesis gravidarum;['hiperemesis gravidarum', 'hiperemesis gravidarum muntahmuntah 3 kehamilan', 'emesis gravidarum']
hiperglikemia;['hiperglikemia']
hiperkalemia;['hiperkalemia']
hiperkolesterolemia;['hiperkolesterol primer tipe iia', 'hiperkolesterolemia hip', 'hiperko - lesterolemia', 'hiperkolesterolemia primer tipe iia', 'hiperkoleterolemia primer', 'heterozigot familial', 'hiperkolesterolemia primer tipe', 'hiperkolesterolemia familial', 'hiperkolesterol primer', 'hiperkolsterolemia', 'hiperko lesterolemia', 'hiperkolesterolemia tipe iia', 'hiperkolesterolemia familial heterozigot', 'hiperkolesterolemia familial heterozigot homozigot', 'hiperkolesterolemia primer', 'hiperkolesterolemia']
hiperlipidemia;['hiperlipidemia kombinasi tipe iib ii', 'hiperlipidemia', 'hiperlipidemia kombinasi campuran', 'hiperlipidemia campuran', 'hiperlipidaemia']
hiperparatiroidisme;['hiperparatiroidisme']
hiperpigmentasi;['hiperpigmentasi melamin akibat pemakaian kontrasepsi oral', 'hiperpigmentasi', 'hiperpigmentasi melamin', 'hiperpigmentasi kulit', 'hiperpigmentasi melanin area kulit tidak']
hipersekresi;['hipersekreasi', 'hipersekresi','hipersekreksi']
hipersekresi mukus;['hipersekresi mukus']
hipersekresi patologis;['hipersekresi patologis', 'hipersekreasi patologis','hiperseresi patologis', 'hipersekresi patologi', 'hipersekresiu patologik','hipersekretori patologis', 'hipersekrusi patologis','hipersekretori patologikal','hipersekresi patologis lainnya']
hipertensi;['hipertensi esensial ringan', 'hipertensi nefrogenik', 'darah tinggi', 'hipertensi berat', 'hipertensi renovaskuler', 'hipertensi essensial ringan', 'hipertensi ringan', 'hipertensi dewasa', 'hipertensi essensial', 'hipertensi esensial', 'hipertensi', 'hipertensi maligna', 'hipertensi esensial renovaskular', 'tekanan tinggi pembuluh darah arteri paruparu']
hipertensi okuler;['hipertensi mata', 'hipertensi okular tidak responsif', 'hipertensi okular responsif', 'hipertensi okular', 'hipertensi okuler']
hipertensi pulmonal;['hipertensi pulmonal']
hiperurisemia;['hiperurisemia sekunder', 'hiperurisemia', 'hiperuresemia', 'hiperurisemia primer']
hipoalbuminemia;['hipoalbuminemia']
hipokalemia;['hipokalemia']
hipomagnesemia;['hipomagnesia', 'hipomagnesemia']
hipoparatiroid;['hipoparatiroidisme']
hipotensi;['hipotensi', 'hipotensi okuler']
hirsutisme;['hirsutisme', 'hirsutism']
histoplasmosis;['hiptoplasmosis', 'histoplasmosis']
iktiosis;['iktiosis kulit kering', 'ikhtiosis', 'iktiosis']
ileus paralitik;['ileus paralitik']
impetigo;['impetigo', 'impetigo furunculosis', 'impetigo kontagiosum', 'impetigo go komplikasi', 'impetigo kontagiosa']
impotensi;['impotensi', 'impoten', 'impoten pria']
imunisasi;['imunisasi']
infark;['infark', 'infark akut']
infark jantung;['infark jantung']
infark miokard;['infark miokard', 'infark miokardial', 'infark miokard akut', 'infark miokad','pasca infark miokard']
infark otak;['infark serebral', 'infark otak']
infeksi;['infeksi', 'infeksi lain', 'infkesi', 'infeksi berat terkomplikasi', 'infeksi serius', 'infeksi berat', 'infeksi ringan', 'infeksi lain disebabkan kuman gram sensitif', 'infeski', 'infeksi2', 'infeksi eksternal', 'infeksi akut', 'infeksi lainnya', 'infeksi ringan sedang', 'infeksi kandida mukosa lainnya', 'infeksi sedang']
infeksi bakteri;['infeksi bakteri fungi mulut tenggorokan', 'infeksi gram positif serius berat', 'infeksi oleh bakteri', 'infeksi gram positif', 'infeksi bakteri anaerob', 'gram negatif', 'bakteri gram positif', 'infeksi berat disebabkan bakteri gram', 'bakterial', 'infeksi disebabkan oleh bakteri', 'bakteriuria asimptomatik pada masa hamil', 'bakteri gr  penyebab bakteremia', 'bakteri anaerob', 'infeksi bakteri dan fungi pada mulut dan tenggorokan', 'infeksi serius bakteri anaerob', 'infeksi mikobakteri', 'infeksi gr serius berat', 'bakteri', 'infeksi disebabkan bakteri anaerob', 'infeksi bakteri yang rentan', 'infeksi bakteri jamur fungi', 'infeksi bakteri sekunder bronkitis akut', 'infeksi serius disebabkan bakteri sensitif', 'infeksi serius akibat bakteri anaerob', 'infeksi staph', 'infeksi bakteri', 'infeksi gram positif gram negatif', 'infeksi bakteri dan jamur fungi', 'infeksi sekunder bakteri gram positif', 'infeksi gram', 'infeksi bakteri rentan', 'bakteri gram negatif', 'infeksi berat disebabkan kuman gr gr', 'bakteri gr', 'infeksi bakteri lipatan kulit', 'bakteriuria asimptomatik masa hamil', 'infeksi bakteri anaerob sensitif', 'infeksi bakterial sekunder', 'infeksi rentan berat', 'infeksi akibat bakteri saluran pernapasan', 'eksaserbasi bakterial akut', 'infeksi bakteri gram positif', 'infeksi disebabkan strain bakteri peka', 'infeksi bakterial mata', 'bakteri gr penyebab bakteremia', 'eritis bakterial', 'infeksi akibat chlamydia trachomatis', 'infeksi bakteri sekunder', 'infeksi kandungan eritis bakterial', 'infeksi bakteri gr gr sal nafas', 'infeksi mikobakterial tertentu', 'infeksi bakteri mycobacterium tuberculosis tbc', 'anaerob', 'bakteri endocarditis', 'infeksi anaerob', 'infeksi gram positif negatif', 'disebabkan oleh jamur bakteri mulut', 'staph', 'infeksi bakteri pada lipatan kulit', 'infeksi akibat bakteri', 'infeksi bakteri anaerob serius', 'infeksi bakteri gr gr  sal nafas', 'bakteri gram negativ', 'infeksi bakteri sensitif levofloxacin sinusitis', 'infeksi bakteri sensitif moxifloxacin', 'bakterial akut', 'infeksi akibat bakteri pencernaan', 'infeksi gram negatif', 'infeksi mikobakterial', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'infeksi akibat bakteri saluran kemih', 'infeksi serius disebabkan bakteri anaerob sensitif']
infeksi genital;['infeksi genital', 'infeksi anogenital urethral', 'infeksi anogenital']
infeksi gigi;['infeksi gigi']
infeksi ginjal;['infeksi ginjal', 'pielonefritis', 'infeksi pada ginjal', 'pielonefritis akut', 'pielonefritis infeksi ginjal akut','pyelonephritis']
infeksi helicobacter pylori;['infeksi bakteri helicobacter pylorus']
infeksi jamur;['infeksi jamur kandidiasis', 'infeksi jamur', 'infeksi jamur tubuh', 'infeksi fungi', 'infesi jamur', 'jamur', 'infeksi jamur ring  worm kulit', 'infeksi jamur pada kulit dengan inflamasiperadangan', 'infeksi jamur fungi', 'infeksi akibat jamur', 'infeksi jamur sistemik', 'infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton', 'infeksi jamur kulit kulit kepala kuku', 'infeksi jamur pada kulit kulit kepala dan kuku', 'infeksi jamur kulit dengan inflamasiperadangan', 'infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton', 'infeksi jamur ring worm kulit', 'fungi', 'profilaksis infeksi jamur']
infeksi jamur kuku;['infeksi jamur kuku', 'infeksi jamur pada kuku']
infeksi jamur kulit;['infeksi jamur kulit', 'infeksi dermatofit', 'infeksi kuku kulit dermatofita', 'infeksi jamur lipatan kulit', 'infeksi di kulit  jaringan lunak', 'infeksi jamur pada kulit dan kuku', 'infeksi jamur kulit kepala', 'infeksi jamur pada kulit', 'infeksi dermatofita kuku kaki', 'infeksi dermatofita kulit kuku tangan', 'infeksi jamur kulit kuku', 'dermatofit', 'dermatofita']
infeksi jamur rambut;['infeksi jamur rambut']
infeksi kuku;['infeksi kuku']
infeksi kulit;['infeksi kulit struktur kulit ringan terkomplikasi', 'infeksi kulit lain', 'infeksi kulit membran mukosa lokal', 'infeksi kulit pioderma', 'infeksi sekunder kulit', 'kulit jar lunak infeksi serius', 'infeksi kulit primer maupun sekunder', 'infeksi kulit primer dan sekunder', 'infeksi jar lunak', 'infeksi kulit struktur kulit tak terkomplikasi', 'infeksi basah kering kulit bayi', 'infeksi kulit struktur kulit', 'pioderma dermatitis infeksi sekunder', 'infeksi kulit  jaringan lunak', 'infeksi sekunder luka terbuka', 'infeksi kulit jaringan lunak', 'infeksi kulit termasuk herpes genital rekuren dan herpes labialis', 'infeksi kulit struktur kulit tidak terkomplikasi', 'infeksi kulit lain karena organisme yang peka terhadap kloramfenikol', 'infeksi kulit struktur kulit komplikasi', 'infeksi sekunder pyoderma', 'infeksi kulit struktur kulit terkomplikasi', 'infeksi kulit kepala demartitis sebaroik ringan', 'infeksi kulit mukosa', 'pioderma gangrenosa', 'struktur kulit infeksi', 'infeksi kulit dan membran mukosa luar', 'infeksi kulit jar lunak', 'infeksi kulit dan jaringan lunak', 'infeksi kulit primer sekunder', 'infeksi kulit dan struktur kulit', 'infeksi jarang lunak', 'infeksi kulit dan membran mukosa lokal', 'infeksi kulit strukturnya tanpa komplikasi', 'infeksi kulit dan struktur kulit tak terkomplikasi', 'infeksi jaringan lunak', 'infeksi serius jaringan lunak kulit', 'infeksi kulit jar lunak terkomplikasi', 'kulit infeksi', 'infeksi kulit primer', 'infeksi kulit termasuk herpes genital rekuren herpes labialis', 'infeksi kulit lainnya', 'infeksi kulit', 'mikosis kulit lain', 'infeksi kuku kulit', 'infeksi pada kulit', 'pioderma', 'infeksi mikotik kulit', 'infeksi kulit kepala', 'infeksi mikotik kulit disebabkan candida albikans', 'infeksi kulit termasuk herpes genital rekuren', 'infeksi primer sekunder', 'lesi kulit traumatik infeksi sekunder', 'infeksi kulit membran mukosa luar', 'terapi infeksi kulit', 'infeksi kulit lain organisme peka terhadap kloramfenikol', 'infeksi kulit primer akut', 'infeksi kulit dan jar lunak', 'infeksi jaringan lunak kulit', 'infeksi kulit dan jaringan lunak tanpa komplikasi', 'infeksi kulit dan strukturnya tanpa komplikasi', 'infeksi jaringan', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'infeksi kulit jaringan lunak tanpa komplikasi', 'infeksi struktur kulit', 'pioderma primer sekunder', 'pyoderma', 'infeksi kulit jelunak', 'infeksi kulit jaringan luka', 'infeksi kulit sekunder']
infeksi lambung;['infeksi lambung']
infeksi luka operasi;['luka dengan infeksi', 'luka paska operasi', 'infeksi luka operasi', 'infeksi sesudah operasi', 'infeksi pasca operasi', 'infeksi operasi', 'infeksi operasi esofangeal', 'luka terinfeksi', 'infeksi luka']
infeksi mata;['infeksi eksternal bola mata struktur terkait', 'infeksi mata disebabkan oleh bakteri gram negatif', 'infeksi okular', 'infeksi eksternal mata', 'infeksi mata eksternal bola mata', 'infeksi mata okular', 'infeksi mata', 'infeksi pada mata', 'infeksi ocular']
infeksi mulut;['infeksi jamur fungi rongga mulut tenggorokan', 'infeksi mulut', 'infeksi rongga mulut', 'infeksi jamur dalam rongga mulut', 'infeksi jamur rongga mulut']
infeksi paru-paru;['infeksi paru', 'infeksi paru-paru']
infeksi pelvis;['infeksi pelvis']
infeksi perut;['infeksi perut']
infeksi protozoa;['infeksi protozoa']
infeksi rahim;['infeksi rahim']
infeksi salmonella;['infeksi salmonella', 'infeksi disebabkan salmonella sp', 'infeksi disebabkan oleh salmonella sp', 'infeksi salmonele', 'infeksi salmonella spp', 'infeksi salmonella sp sp', 'salmonelosis infeksi urogenital', 'salmonellosis', 'infeksi disebabkan oleh salmonella', 'salmonella', 'infeksi yang disebabkan oleh salmonella', 'salmonella sp', 'infeksi disebabkan salmonella', 'salmonelosis  infeksi urogenital', 'infeksi yang disebabkan oleh salmonella sp', 'salmonelosis', 'infeksi salmonella sp']
infeksi saluran kelamin;['kelamin infeksi', 'infeksi kelamin', 'infeksi sal kelamin']
infeksi saluran kemih;['infeksi traktus genitourinary', 'infeksi saluran kelamin', 'infeksi saluran gl', 'komplikasi infeksi saluran kemih', 'infeksi saluram urinarius', 'infeksi saluran kemih komplikasi', 'infeksi urogenital', 'complicated urinary tract infection', 'infeksi bakteri saluran kemih', 'infeksi traktus urinarius', 'isk', 'isk terkomplikasi pielonefritis akut', 'infeksi saluran kemih dengan komplikasi', 'infeksi saluran urogenital', 'isk komplikasi', 'infeksi saluran kemih akut komplikasi', 'saluran kemih kelamin infeksi kulit jaringan lunak', 'infeksi pada saluran kemih', 'infeksi sal urogenital kemih kelamin', 'infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis', 'infeksi saluran kemih akut', 'isk terkomlikasi', 'infeksi saluran urin', 'infeksi saluran kemih dan kelamin', 'infeksi saluran kemih tanpa komplikasi', 'infeksi saluran genitourinary', 'infeksi saluran kemih  kelamin', 'infeksi saluran kemih kecuali prostatitis', 'infeksi akut non komplikata saluran kemih bagian bawah', 'kelamin infeksi kulit jaringan lunak', 'infeksi sal kemih', 'infeksi saluran kemih kompleks complicated urinary tract infection', 'infeksi traktus urinarius pielonefritis', 'infeksi saluran kemih', 'saluran kemih organ genital wanita', 'infeksi saluran kemih kelamin', 'infeksi saluran kemih kompleks', 'infeksi di saluran kemih', 'infeksi saluran urinarius', 'isk pielonefritis ringan', 'saluran kemih kelamin infeksi', 'infeksi saluran genitourinari', 'infeksi saluran genitourinaria', 'infeksi saluran kemih bagian bawah', 'isk terkomplikasi', 'infeksi sal gl', 'infeksi saluran kencing']
infeksi saluran pencernaan;['lesi di saluran pencernaan', 'infeksi sistem pencernaan', 'infeksi saluran pencernaan', 'infeksi intraabdomen dengan komplikasi', 'infeksi intraabdomen komplikasi', 'infeksi saluran cerna tifoid paratifoid', 'sal cerna tifoid paratifoid', 'infeksi abdomen', 'infeksi gut', 'infeksi intra abdomen komplikasi', 'infeksi pencernaan', 'infeksi intraabdominal', 'infeksi intraabdomen', 'infeksi intra abdomen', 'infeksi saluran cerna', 'infeksi sal cerna', 'infeksi pernafasan saluran cerna', 'proteus mirabilisinfeksi saluran pencernaan', 'lesi saluran pencernaan']
