standardized_disease;list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy
panu;['pityriasis', 'panu', 'pityriasis versikolor', 'tinea versicolor', 'pityriasis versicolor', 'tinea versikolor', 'tinea pityriasis versicolor', 'tinea versicolor panu']
paratifus;['tifus dan paratifus', 'tifus epidemi', 'demam paratifus', 'demam tifus paratifus', 'tifus  paratifus', 'tifoid paratifoid', 'demam tifoid paratifoid', 'go infeksi gl tifoid paratifoid', 'tifoid', 'paratifus', 'tifus paratifus']
paronikia;['paronikhia', 'paronikia']
parotitis;['parotitis']
pegal linu;['pegapegal','pega pegal', 'pegal otot sendi', 'pegalpegal', 'linu', 'pegal pegal', 'pegal linu', 'pegal', 'linu linu','pegel linu','pegel','peger linu']
pembengkakan;['pembengkakan rambut', 'pembengkakan']
pembengkakan otak;['pembengkakan otak']
pembengkakan pasca bedah;['pembengkakan pasca bedah']
pembengkakan pasca trauma;['pembengkakan pasca trauma']
pembengkakan prostat;['pembengkakan prostat']
pendaharan;['perdarahan uterus', 'perdarahan']
pendaharan hidung;['perdarahan hidung', 'perdarahan hidung ringan']
pening;['pening']
penuh lambung;['rasa penuh lambung', 'perasaan penuh lambung', 'penuh lambung']
penyakit akibat virus;['penyakit virus', 'virus superfisial', 'virus', 'penyakit virus lainnya', 'virus jamur']
penyakit arteri koroner;['penyakit arteri koroner stabil', 'penyakit arteri koroner']
penyakit arteri perifer;['penyakit arteri', 'oklusi arteri khronik', 'oklusi arteri perifer kronis', 'oklusi arteri kronik', 'penyakit arteri perifer']
penyakit behcet;['penyakit behcet']
penyakit crohn;['penyakit crohn ringan sedang', 'crohn', 'penyakit crohn']
penyakit gigi;['penyakit gigi gusi', 'penyakit gigi']
penyakit ginjal;['penyakit ginjal stadium ginjal', 'penyakit ginjal kronik', 'penyakit ginjal', 'penyakit ginjal hati']
penyakit hati;['penyakit hati', 'penyakit hati akut kronis','peny hati']
penyakit infeksi;['penyakit infeksi kulit', 'infeksi penyakit eksaserbasi akut', 'penyakit infeksi hpylori', 'eradikasi hpylori', 'hpylori', 'penyakit infeksi ringan', 'penyakit infeksi']
penyakit jantung;['penyakit jantung', 'penyakit jantung hati']
penyakit jantung koroner;['penyakit koroner kronik', 'penyakit jantung koroner', 'penyakit2 koroner khronik']
penyakit kulit;['penyakit dermatologik lain', 'penyakit kulit lainnya', 'penyakit kulit jaringan lunak', 'dermatologik', 'penyakit2 kulit', 'penyakit kulit dengan peradangan', 'penyakit infeksi kulit jaringan lunak', 'penyakit kkulit', 'penyakit kulit', 'penyakit kulit janggut jamur', 'penyakit kulit lain']
penyakit liver;['penyakit liver']
penyakit mata;['penyakit mata']
penyakit meniere;['sindrom meniere', 'penyakit meniere', 'sindrom meniere s', 'penyakit meniere s', 'sindroma meniere', 'meniere', 'gangguan meniere']
penyakit menular seksual;['penyakit hubungan seksual', 'penyakit menular seksual']
penyakit paget;['penyakit paget']
penyakit paru obstruktif kronis;['penyakit2 paru', 'penyakit paru obstruktif kronis eksaserbasi akut', 'penyakit paru obstruktif kronik (ppok)', 'obstruksi saluran napa', 'penyakit paru obstruktif kronis', 'paru obstruktif kronik', 'obstruksi saluran nafas kronik', 'penyakit paru obstruktif kronik ppok', 'penyakit2 obstruksi saluran nafas', 'penyakit paru obstruktif kronik', 'obstruksi jalan napa', 'obstruksi saluran nafas', 'penyakit paru', 'obstruksi jalan napas', 'obstruksi kronik', 'obstruksi saluran napa reversible asma']
penyakit pes;['penyakit pes']
penyakit saluran empedu;['sakit kandung empedu', 'penyakit2 kandung empedu saluran empedu']
penyakit saluran pernapasan;['penyakit saluran nafas kronik', 'penyakit pernapasan akut kronik', 'penyakit saluran napas atas lain', 'penyakit saluran napas akut khronik', 'penyakit saluran pernafasan akut kronik', 'penyakit saluran nafas akut', 'penyakit disebabkan oleh virus saluran nafas', 'penyakit disebabkan oleh virus saluran napas', 'penyakit saluran napa', 'penyakit saluran nafas akut kronik', 'penyakit saluran pernafasan', 'penyakit saluran pernafasan kronik', 'penyakit saluran napa akut kronik', 'penyakit saluran nafas', 'penyakitpenyakit saluran pernafasan akut kronis', 'pernapasan akut kronik', 'penyakit saluran pernafasan kronis', 'penyakit saluran pernafasan akut']
penyakit saraf;['penyakit saraf tertentu', 'penyakit saraf']
penyakit tulang;['sakit tulang']
penyempitan saluran napas;['penyempitan pembuluh vena', 'penyakit penyumbatan saluran nafas', 'penyempitan saluran napas', 'penyempitan', 'penyumbatan', 'penyumbatan saluran nafas', 'penyumbatan pembuluh', 'sumbatan saluran napas', 'penyempitan pembuluh darah']
peradangan operasi gigi;['peradangan operasi gigi']
perdarahan gastrointestinal;['perdarahan gastrointestinal', 'profilaksis perdarahan gastrointestinal']
perdarahan saluran pencernaan;['perdarahan saluran cerna atas', 'perdarahan saluran pencernaan']
perdarahan subarachnoid;['pendarahan subarakhnoid', 'perdarahan subarachnoid']
periartritis;['periartritis bahu', 'periartritis pinggul', 'periarthritis', 'periartritis']
perikarditis;['perikarditis']
periodontitis;['periodontitis', 'priodontitis']
peritonitis;['peritoditis', 'peritonitis radang selaput perut', 'peritonitisradang selaput perut', 'radang selaput perut', 'peritonitis']
perut kembung;['perut kembung', 'peredangan perut kembung', 'gejala masuk angin seperti perut kembung mual', 'rasa kembung', 'tidak nyaman perut', 'perih kembung', 'kembung masuk angin', 'kembung', 'flatulent kembung', 'perut kembung masuk angin', 'kembung rasa tidak nyaman perut', 'rasa tidak nyaman perut gas berlebihan', 'flatulens kembung']
pielitis;['pielitis']
pilek;['pilek alergi', 'pilek rinorea', 'pilek anakanak', 'pilek']
pirosis;['pirosis']
pitiriasis kapitis;['pitiriasis kapitis']
plak mulut;['akumulasi plak rongga mulut']
pleuritis;['pleuritis']
plineuritis;['b12 plineuritis neuralgia', 'plineuritis']
pneumonia;['pneumonia cystitis', 'pneumonia akibat streptococcus', 's  pneumoniae', 'pneumonia akut', 'spneumoniae', 'pneumonia atipik primer', 'pnemonitis anaerob', 'pneumonia komuniti', 'kuman h influenzae s pneumoniae', 'pneumonia strep hemolitikus', 'pneumonia dr lingkungan', 's pneumoniae', 'pneumonia saluran napa', 's.pneumoniae', 'pneumonia nosokomial', 'streptococus pneumonia', 'pneumonia lingkungan', 'pneumonia komunitas', 'pneumonia akibat lingkungan', 'pneumonia', 'pneumonia masyarakat', 'pneumonia bakteri', 'pneumonitis anaerob', 'acquired pneumonia', 'pneumonia yang didapat dari lingkungan', 'pneumonia komunitas communityacquired pneumonia', 'streptococcus pneumoniae', 'pneumonia didapat dari lingkungan', 'pneumonia faringitis']
pneumonia aspirasi;['pneumonia aspirasi']
poliartritis kronik;['poliartritis kronik','poliarthritis kronis']
polineuritis;['polineuritis', 'polyneuritis']
polineuropati diabetik;['polineuropati diabetikum', 'polineuropati diabetik']
polip;['polip']
polip hidung;['polip hidung']
polip usus;['polip usus besar']
polisitemia vera;['polisitemia vera']
proktitis;['proktitis']
prostatitis;['pielitis prostatitis akut kronis', 'isk prostatitis', 'prostatitis', 'prostatitis akut', 'prostatitis bakterial kronik', 'prostatitis bakteri kronis']
prurigo;['prurigo', 'ekzema prurigo']
pruritus;['pruritus anogenital', 'pruritus anogential', 'pruritus alergi', 'pruritis anogenital', 'pruritus anus', 'pruritus urtikaria khronik idiopathik', 'pruritus gatalgatal anus vulvagenital external wanita', 'pruritis ani', 'pruritis', 'pruritus pada urtikaria khronik idiopathik', 'pruritus', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'urtikaria khronik idiopathik', 'pruritus di anus', 'alergi pruritis']
pseudohipoparatiroidisme;['pseudohipoparatiroidisme']
psikosis;['psikosis']
psitakosis;['lympogranulloma psittacosis', 'pittacosis', 'limfogranuloma psitakosis', 'psithachosis', 'lymphomagranuloma pittacosis', 'limfogranuloma psittacosis', 'psittacosis', 'psitakosis']
psoriasis;['inflamasi psoriasis', 'psoriasis kecuali plak', 'psoriasis diskoid', 'psoriasis', 'lesi psoriasis', 'vulva psoriasis', 'psoriasis ']
punggung pegal dan kaku;['punggung pegal']
purpura;['purpura']
pusing;['capek pusing', 'pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah', 'kepala pusing', 'pusing', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah', 'pusingmigren', 'pusingpusing', 'pusing vestibular']
rachitis;['rachitis']
radang;['radang akut', 'radang akut berat', 'radang akibat amandel', 'radang', 'radang akut yang berat', 'peradangan lokal', 'peradangan']
radang ginjal;['radang pasu ginjal', 'radang ginjal', 'pielonefritis radang ginjal serentak radang pasu ginjal']
radang gusi;['radang gusi']
radang hati;['peradangan hati']
radang hidung;['peradangan mukosa hidung', 'peradangan hidung', 'peradangan akibat infeksi hidung']
radang jaringan kuku;['radang jaringan kuku']
radang kulit;['radang kkulit', 'radang kulit']
radang mata;['penyakit radang mata', 'gangguan radang mata', 'radang kornea mata', 'radang kantung air mata', 'peradangan mata', 'radang mata akibat reaksi alergi', 'radang selaput bening mata', 'radang selaput ikat mata', 'radang saraf mata', 'peradangan selaput mata', 'radang kelopak mata']
radang mulut;['peradangan rongga mulut tenggorokan', 'radang selaput lendir mulut', 'peradangan radang mulut', 'radang mulut']
radang otot;['radang otot']
radang panggul;['penyakit radang panggul']
radang pankreas;['radang pankreas']
radang prostat;['radang prostat']
radang saluran pernapasan;['radang ringan saluran nafas', 'peradangan saluran pernafasan bagian atas', 'radang saluran nafas']
radang saraf;['radang saraf']
radang selaput lendir;['radang selaput lendir']
radang sendi;['peradangan sendi', 'radang sendi']
radang sumsum tulang;['radang sumsum tulang', 'radang sumsum tulang akut']
radang telinga;['radang telinga bagian luar tengah', 'inflamasi radang telinga', 'radang telinga bagian luar', 'radang telinga tengah', 'radang telinga bagian luar  tengah', 'radang telinga akut kronis', 'peradangan akibat infeksi telinga', 'radang rongga gendang telinga', 'radang telinga bagian tengah']
radang tenggorokan;['radang tenggorokan', 'peradangan akibat infeksi tenggorokan']
radang usus;['radang pada usus', 'radang usus', 'radang usus halus', 'radang usus peradangan usus']
rakitis;['rakhitis akibat defisiensi vit  d', 'rickets', 'rickettsia', 'riketsia', 'rakhitis', 'infeksi ricketsia', 'ricketsia', 'rachitis rickets', 'penyakit rickets', 'rakhitis akibat defisiensi vit d']
rambut rontok;['kerontokan rambut', 'rambut rontok']
reactive arthritis;['reactive arthritis']
rematik;['renatik tulang', 'rematik', 'penyakit reumatik', 'penyakit renatik tulang', 'rheumatik', 'rematik non artikular', 'nonartikular reumatik', 'nyeri reumatik', 'reumatik tulang', 'rematik tulang', 'reumatik non artikular sakit tulang', 'reumatik non artikular', 'reumatik jaringan lunak terlokalisir', 'reumatik non sendi', 'nyeri penyakit reumatik', 'reumatik nonartikular', 'non artikular reumatik', 'reumatik', 'reumatik sendi', 'rematik nonartikular']
retensi urin pasca operasi;['retensi urin pasca operasi']
rheumatoid arthritis;['gejala artritis reumatoid', 'juvenile artritis reumatoid', 'rheumatoid arthritis poliartritis kronik', 'rematoid artritis', 'atritis rematoid', 'artritis rematoid aktif', 'pasien rematoid atritis akut kronis', 'reumatoid artritis akut kronis', 'rheumatoid arthritis ra', 'reumatik generatif atritis rematoid', 'rematoid atritis akut', 'rematik artritis', 'rematoid atritis akut kronis', 'gejala juvenile artritis reumatoid', 'arthritis reumatik', 'reumatoid artritis kronis', 'artritis rheumatoid juvenil', 'arthritis rheumatoid', 'reumatoid arthritis', 'rematoid atritis kronis', 'artritis rheumatoid', 'rheumatoid arthritis', 'rematoid astritis ar', 'rematoid artitis', 'ra', 'reumatoid atritis kronis', 'nyeri rematoid atritis kronis', 'reumatoid atritis akut', 'artritis rematoid', 'reumatoid atritis', 'rematoid', 'arthritis reumatoid ar', 'rheumatoid arhritis', 'reumatoid artritis', 'rematoid athritis', 'reumatoid artritis akut', 'ar', 'reumatoid atritis akut kronis', 'nyeri rematoid atritis akut', 'inflamasi degeneratif artritis rematoid', 'rheumatoid artritis', 'artritis reumatoid', 'arthritis reumatoid']
rhinitis;['rinitis vasomotorik', 'rhinitis vasomotor', 'rhinitis', 'rinitis menahun', 'vasomotor rhinitis', 'perennial rhinitis', 'rinitis purulen', 'rinitis parenial', 'rinitis vasomotor']
rhinitis alergi;['alergi rinitis', 'rinitis alergi tahunan musiman', 'rinitis persisten', 'rinitis alergi nasal', 'rinitis perenial', 'rinitis alergi perenial', 'alergi pernafasan', 'allergic rhinitis', 'rinitis alergi musiman tahunan', 'rinitis alergi seasonal', 'rinitis alergi seasonal perenial', 'rhinitis alergika', 'alergi rinitis perenial', 'rinitis alergi konjungtivitis', 'alergi rinitis intermiten persisten menerus', 'rinitis alergi musiman', 'alergi rinitis nasal nonnasal', 'alergi rinitis intermitensewaktu', 'rinitis alergi musiman menahunterus menerus', 'rinitis intermiten', 'rinitis alergi persisten', 'alergi rhinitis', 'rinitis alergika', 'alergi hidung', 'rinitis musiman', 'rinitis alergik', 'rinitis alergi musiman perennial', 'rhinitis alergi', 'rinitis alergi menahun musiman', 'alergi rinitis persistenterusmenerus', 'rinitis', 'alergi rinitis intermiten persisten  menerus', 'rinitis alergi', 'alergi rinitis nasal  nonnasal']
riketsiosis;['riketsiosis']
ruam merah;['merah', 'kemerahan', 'ruam merah', 'bercak merah', 'kemerahan keadaan inflamasi', 'merah iritasi', 'tinea manus ruam merah tangan']
ruam popok;['ruam popok']
sakit gigi;['sakit saat pertumbuhan gigi', 'sakit gigi nyeri ringan', 'sakil gigi', 'sakit gigi']
sakit kepala;['skit kepala', 'sakit kepalan', 'nyeri sakit kepala', 'sakit kepala derajat sedang', 'sakit kepala kekakuan otot', 'sakit kepala', 'sakit kepala sebelah', 'sakit kepala vaskular', 'sakit kepala sakit gigi']
sakit maag;['sakit maag', 'maag']
sakit otot;['sakit otot']
sakit pasca vaksinasi;['sakit paska vaksinasi', 'sakit pasca vaksinasi']
sakit perut;['sakit perut', 'sakit perus']
sakit pinggang;['sakit pinggan', 'sakit pinggang', 'sakit otot pinggang']
sakit pundak;['sakit pundak']
sakit punggung;['sakit punggung', 'sakit punggung bagian bawah', 'sakit punggung bawah']
sakit sendi;['sakit sendi']
sakit tenggorokan;['sakt tenggorokan', 'sakit tenggorokan', 'rasa sakit tenggorokan', 'rasa sakit di tenggorokan']
salpingitis;['salpingitis']
sariawan;['nyeri akibat sariawan', 'tukak sariawan', 'sariawan', 'panas dalam disertai sariawan']
selulitis;['selulitis pelvis', 'selulitis pelvis pasca operasi vagina', 'selulitis']
sepsis;['sepsis puerperal intra abdomen', 'sepsis intra abdominal', 'sepsis purpura', 'sepsis', 'sepsis intraabdominal', 'sepsis puerperal']
septic arthritis;['artritis septik', 'artritis septik osteomielitis']
septikemia;['septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut','septicemia','septikemia', 'septicaemia']
serangan jantung;['serangan jantung']
servisitis;['servisitis sal pernafasan kecuali disebabkan streptococus', 'uretritis servisitis', 'servisitis go', 'infeksi servisitis non gonokokal', 'servisitis komplikasi', 'uretritis go servisitis komplikasi', 'cervicitis', 'uretritis servisitis go', 'servisitis sal pernafasan', 'servisitis']
sesak napas;['mengi sesak napas paruparu asma', 'sesak napas', 'sesak nafas', 'sesak']
sicca;['sindrom sicca', 'sicca']
sifilis;['sipilis', 'sifilis']
sindrom nefrotik;['sindrom nefrotik', 'sindroma nefrotik']
sindrom raynaud;['sindroma raynaud', 'fenomena reynaud', 'fenomena raynaud', 'sindrom raynaud']
sindrom zollinger-ellison;['sindroma zollingerellison pendarahan gi', 'hipersekrese patologis sindroma zollinger ellison', 'sindrom zollingerellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'hipersekreasi patologis seperti sindroma zollingerellison', 'sindroma zollinger ellison pendarahan gi', 'hipersekreasi patologis zollingerellison', 'sindrom zollinger ellison', 'hipersekreasi patologis sindrom zollinger ellison', 'sindrom zollinger-ellison', 'sindroma zollinger', 'sindrom zollinger', 'sindroma zollingerellison', 'hipersekresi patologis sindroma zollinger ellison', 'zollinger ellison syndrome', 'sindrom zollinge', 'sindroma zollinger ellison', 'sindrom zollingerellison adenoma endokrin multiple']
sindroma leher;['sindroma leher']
sinusitis;['sinusitis akut', 'sinusitis', 'sinusitus', 'sinusitis maksilaris akut', 'sistitis', 'sinusitis maxillary akut', 'sinusitis bakterial akut', 'sinusitis alergi', 'sinusitis maksilaris','rinosinusitis']
sirosis;['sirosis hepatik', 'sirosis hati', 'sirosis']
skiatika;['skiatika']
skleritis;['sclaritis', 'scleritis', 'skleritis']
skorbut;['skorbut']
spasme;['spasme']
spasme kram muskuloskeletal;['spasme kram muskuloskeletal', 'spasme muskuloskeletal']
spondilartritis;['spondiloartritis akut', 'spondiloartritis', 'spondiloartritis akut kronik', 'spondilartritis', 'spondiloartritis kronik']
spondilitis deformans;['spondilitis deformans']
stenosis pilorus;['stenosis pilorikringan','stenosis pilorus', 'stenosis pylorus', 'stenosis pilorik', 'stenosis pilorik bersifat ringan']
strain;['strains', 'strain', 'strains otot tegang']
stres;['stres', 'stress']
stroke;['stroke']
stroke iskemik;['stroke iskemik', 'stroke iskhemik', 'gejala iskhemik']
takikardia;['takikardia supraventrikuler paroksismal', 'takikardia supraventrikular paroksismal', 'takikardia atrial ektopik', 'takikardia']
tbc (tuberkulosis);['tubercolsis','tuberkolusis','tb tuberkulosis pulmoner ekstrapulmoner','tuberkulosis pulmoner ekstrapulmoner','tbc paru', 'tbc', 'mycobacterium tuberculosis', 'tuberkulosis ekstrapulmoner', 'tuberkulosis paru resisten', 'tuberkulosis pulmoner', 'tuberkulosis', 'tb pulmoner', 'tuberkulosis tb paru resistensi', 'antituberkulosis', 'tuberkulosis paru', 'tb aktif mycobacterium tuberculosa', 'tuberkulosis milliar', 'tuberkulosis primer', 'tbc infeksi mikobakterial', 'tuberkulosa', 'tbc ekstra paru', 'tb', 'tbc paru paru', 'tbc lepra', 'tb paru', 'mycobacterium tuberculosa', 'tuberkulosa paru']
tendinitis;['tendinitis']
tendovaginitis;['tendovaginitis']
tenggorokan gatal;['tenggorokan gatal']
tenggorokan kering;['tenggorokan kering']
terkilir;['terkilir']
tetanus;['tetanus']
tifus;['tifus', 'demam tifus', 'scrub tifus', 'profilaksis scrub tifus','skrub tipus']
tinea barbae;['tinea barbae', 'sikosis barbae']
tinea capitis;['tinea kapitis', 'tinea capitis', 'dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis']
tinea corporis;['tinea kruris korporis', 'tinea corporis', 'tinea korporis', 'tinea corporis kurap', 'tinea korporis kurap']
tinea cruris;['tinea cruris gatal jamur selangkangan', 'tinea cruris', 'tinea kuris', 'tinea krusis', 'gatal jamur selangkangan', 'krusis', 'tinea kruris']
tinea pidea;['tinea pidea']
tinnitus;['telinga berdengung', 'tinitus telinga berdenging', 'telinga berdengung tinnitus', 'tinitus', 'tinnitus']
tirotoksikosis;['tirotoksikosis feokhromositoma', 'tirotoksikosis']
toksoplasmosis;['profilaksis toksoplasmosis wanita hamil', 'infeksi toxoplasmosis', 'toksoplasmosis', 'infeksi toksoplasmosis', 'toxoplasmosis']
tonsilitis;['tonsillitis', 'tonsilitis akut', 'tonsilitis', 'tonsilitis streptokokus']
trakhitis;['trakhitis']
trauma terkilir;['trauma terkilir']
tremor esensial;['tremor esensial']
trikomoniasis;['trikomoniasis', 'trikomoniasis salurah kemih kelamin']
tromboflebitis;['tromboflebitis']
trombositemia;['trombositemia']
trombositopenia;['trombositopenia']
tukak lambung;['ulkustukak peptik','pasien tukak lambung', 'tukakulkus lambung', 'tukak lambung duodenum', 'tukak lambung aktif', 'ulkus lambung usus halus', 'ulkus peptikum', 'tukak ulkus lambung', 'lesi lambung', 'ulkus lambung', 'tukak lambung ulkus peptik', 'tukak lambung jinak', 'tukak kulit', 'seperli tukak lambung', 'tukak peptik', 'tukak duodenum tukak lambung ringan', 'tukak', 'tukak lambung usus duabelas jari', 'tuka lambung', 'tukakulkus peptik', 'ulkus tukak lambung usus halus', 'penyakit lambung usus halus', 'tukak lambung usus', 'ulkus tukak lambung', 'luka lambung', 'ulkus peptikum disebabkan h pylori', 'tukak lambung ringan', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'tukak lambung danatau usus halus', 'tukak khronik', 'tukak lambung', 'ulkus peptik', 'tukak ulkus peptikum', 'tukak ulkus peptik', 'tukak lambung tukak duodenum', 'ulkus tukak peptik', 'tukak ulkus lambung usus halus', 'tukak lambung jinak tukak pasca operasi', 'pencegahan kambuhnya tukakulkus peptik', 'tukak lambung tukak usus halus']
tukak pasca operasi;['tukak pasca operasi']
tukak traumatik;['tukak traumatik']
tukak trofik;['tukak trofik varises', 'tukak trofik']
tumor;['tumor jinak', 'tumor']
ulkus;['tukak ulkus', 'ulkus']
ulkus dekubitus;['ulkus dekubitus']
ulkus duodenum;['ulkus duodenal', 'tukak usus belas jari', 'ulkus peptik usus halus', 'ulus duodenum aktif', 'tukak duodenum hpylori', 'tukak usus dua belas jari', 'ulcus duodenal', 'ulkustukak usus halus', 'tukak usus halus', 'ulkus aktif usus halus duodenum', 'lesi duodenum', 'tukak usus', 'tukak duodenal', 'tukak usus 12 jari', 'tukakulkus usus halus', 'tukak duodenum akut', 'tukak duodenum', 'ulkus tukak usus halus aktif', 'tukakulkus lambungusus halus', 'tukak usus belas jari aktif', 'tukak ulkus peptik usus halus', 'ulkus usus halus', 'ulkus usus halus duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'ulkus duodenum aktif', 'luka duodenal', 'ulkus tukak usus halus', 'ulkus deudenum', 'ulkustukak lambungusus halus', 'lesi lambung duodenum', 'ulkus duodenum', 'tukak lambungusus halus', 'tuka duodenal', 'tukak usus 12 jari aktif', 'tukak usus 12 jari lambung']
ulkus genital;['penyakit ulkus genital orang dewasa', 'penyakit ulkus genital']
ulkus kornea;['ulkus pada kornea', 'ulkus kornea', 'tukak kornea', 'luka kornea', 'tukak kornea mata']
ulkus sistem pencernaan;['ulkus sistem pencernaan']
uretritis;['urethris', 'gi uretritis', 'uretritis nongonokokus', 'uritritis non gonokokal', 'gi uretritis servisitis go', 'uretritis', 'urethritis vaginitis', 'uritritis', 'infeksi uretritis', 'uretritis non go', 'protozoa uretritis', 'uretritis nongonococcal', 'urethritis']
urogenital trichomoniasis;['urogenital trichomoniasis', 'trikomoniasis sal kemih kelamin']
urtikaria;['alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis', 'manifestasi alergi kulit urtikaria', 'cold urticaria', 'urtikaria kronik', 'urtikaria', 'urtikaria idiopatik kronis', 'urtikaria khronik', 'rinitis urtikaria', 'urtikaria idiopati kronis', 'urtikaria idiopatik kronik', 'alergi urtikaria', 'urticaria', 'cold urtikaria', 'urilkaria', 'urtikaria kronis', 'urtikaria idiopatik khronik']
uveitis;['uveitis', 'chronic anterior uveitis']
vaginitis;['vaginitis trichomonas vaginalis', 'vaginitis nonspesifik', 'vaginitis trichomonas', 'trichomonas vaginalis', 'vaginitis', 'vaginitis kandida']
vaginosis bakterialis;['bacterial vaginosis', 'vaginosis bakterialis']
varicela;['varicella zoster', 'varicela', 'varisela', 'varicella']
varises;['varises']
vertigo;['vertigo perifer', 'vertigo']
vulvitis;['vulvitis', 'vulvitas']
wasir (ambeien);['wasirhemoroid','hemoroidwasir eksternal', 'wasir kronis menahun', 'hemoroid eksternal', 'hemoroid interna', 'wasir akut', 'wasir (ambeien)', 'hemoroid wasir', 'gejala wasir', 'wasir ambeien', 'hemoroid akut internal eksternal', 'wasir kronik', 'hemoroid internal', 'wasir', 'nyeri panas pendarahan akibat wasir', 'ambien wasir', 'hemoroid eksterna', 'hemoroid interna eksterna', 'hemoroid akut', 'wasir internal eksternal', 'wasir kronik akut', 'hemoroidwasir internal', 'hemoroid']
lymphomagranuloma;['lymphomagranuloma']
lymphogranuloma;['limfogranuloma','lymphogranuloma']
papula;['papula','papul']
sklerosis;['sklerosis multipel']
faringotonsilitis;['faringotonsilitis','faringitis tonsilitis streptokokus','faringitis tonsilitis','faringotosilitis']
rinofaringitis;['rinofaringitis']
insufisiensi vena;['insufisiensi vena']
parestesia;['parestesis','parestesia']
gangguan serebral;['gangguan serebral','gejala serebrovaskular','gangguan serebrovaskular','serebrovaskular']
aborsi habitulasi;['aborsi habitulasi','abortus habitulasi', 'abortus hebatulasi','abortus habitualis']
gangguan endokrin;['gangguan endokrin']
infeksi urethral;['infeksi urethral']
inflamasi pelvis;['inflamasi pelvis']
