standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf
infeksi saluran pernapasan,"['infeksi saluran napas atas  bawah', 'infeksi saluran nafas bagian atas dan bawah', 'infeksi sal nafas atas', 'infeksi mikroorganisme peka tht', 'infeksi bakteri saluran pernafasan', 'infeksi saluran nafas dan tht', 'infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs', 'infeksi saluran nafas khronik', 'infeksi sal nafas atas bawah', 'infeksi saluran napas atas', 'infeksi serius saluran nafas bag bawah', 'infeksi traktus respiratorius', 'saluran napas akut', 'infeksi saluran nafas', 'infeksi saluran nafas atas dan bawah', 'infeksi saluran napa', 'infeksi saluran nafas kulit jaringan lunak', 'infeksi sal', 'infeksi saluran nafas tht', 'infeksi sal nafas', 'infeksi saluran nafas akut khronik', 'infeksi saluran pernfasan bagian atas bawah', 'infeksi saluran nafas bawah', 'infeksi saluran nafas bagian atas bawah', 'infeksi saluran pernapasan bagian atas', 'infeksi saluran napa akut kronik', 'infeksi serius saluran nafas bag bwh', 'infeksi saluran nafas bawah dan atas', 'infeksi tht', 'infeksi saluran pernapasan bawah', 'infeksi tht faringotonsilitis', 'infeksi sal nafas bawah', 'infeksi sal pernafasan atas', 'infeksi saluran napas', 'infeksi saluran pernapasan atas  bawah', 'infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs', 'infeksi saluran nafas kronik', 'infeksi saluran napas atas bawah', 'infeksi saluran napas atas dan bawah', 'infeksi saluran pencernaan saluran kemih', 'infeksi berat sal nafas', 'infeksi saluran nafas dan bawah', 'infeksi saluran pernafasan bagian bawah', 'infeksi saluran nafas akut dan khronik', 'infeksi saluran pernapasan', 'infeksi sal nafas atas dan bawah', 'infeksi saluran napas bawah', 'infeksi saluran pernapasan atas bawah', 'tht', 'infeksi saluran pernapasan atas', 'infeksi sal nafas kulit', 'infeksi virus sal napa', 'infeksi saluran nafas atas bawah', 'infeksi saluran pernafasan bagian atas  bawah', 'infeksi sal nafas lainnya', 'infeksi saluran nafas akut dan kronik', 'infeksi saluran nafas akut kronik', 'infeksi saluran pernapasan atas dan bawah', 'sal nafas kecuali pneumonia strep', 'infeksi serius saluran nafas', 'infeksi saluran nafas bawah atas', 'infeksi saluran napa akut', 'infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi sal nafas bakteri gr', 'saluran nafas akut kronik', 'infeksi saluran pernafasan', 'infeksi ringan saluran nafas', 'infeksi saluran pernafasan bagian atas', 'infeksi sal napa', 'infeksi pernafasan', 'infeksi saluran nafas kecuali pneumonia strep hemolitikus', 'infeksi saluran pernafasan bagian atas bawah', 'infeksi saluran nafas kulit dan jaringan lunak', 'saluran nafas atas', 'infeksi saluran nafas akut', 'infeksi saluran nafas atas', 'infeksi saluran pernafasan bawah']"
infeksi sekunder,"['komplikasi infeksi sekunder', 'infeksi sekunder']"
infeksi selaput lendir mulut,['infeksi selaput lendir mulut']
infeksi sendi,['infeksi sendi']
infeksi staphylococcus,"['infeksi disebabkan staphylococcus', 'staphylococci', 'staphyloccocus aureus', 'lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus', 'luka terinfeksi disebabkan oleh staphylococcus aureus', 'staphylococcus', 'staphylococcusa aureus', 'staphylococcus aureus', 'infeksi serius staph', 'bakteri staph', 'infeksi staphylococcus']"
infeksi streptococcus,"['streptococcus pyogenes', 'luka terinfeksi disebabkan oleh streptococcus pyogenes', 'hemolitikus', 'streptococcus epidermidis', 'streptococcus viridans', 'strep hemolitikus', 'strep', 'infeksi streptococcus', 'streptococci', 'streptococcus hemolyticus', 'streptococcus faecalis', 'infeksi strep', 's pyogenes', 'streptococcus', 'streptococus']"
infeksi telinga,"['infeksi telinga hidung tenggorokan', 'infeksi telinga', 'inteksi tulang', 'infeksi rongga telinga']"
infeksi tulang,"['infeksi tulang sendi', 'infeksi tulang', 'infeksi tulang persendian']"
infeksi urethral,['infeksi urethral']
infeksi usus,"['infeksi usus', 'infeksi traktus gastrointestinal']"
infeksi vagina,"['infeksi vagina campuran trichomonas vaginalis candida albicans', 'infeksi vagina campuran', 'trichomonas vaginalis candida albicans', 'infeksi vagina', 'infeksi vagina disebabkan trichomonas vaginalis', 'candida albikans', 'infeksi vagina disebabkan candida albicans', 'candida albicans']"
infeksi virus,['infeksi virus']
inflamasi,"['keadaan inflamasi', 'inflamasi bentuk degeneratif reumatik', 'inflamasi degeneratif', 'inflamasi', 'inflamasi lokal']"
inflamasi kulit,['inflamasi kulit']
inflamasi mata,"['inflamasi bola mata eksternal anterior', 'inflamasi mata', 'penyakit inflamasi bola mata eksternal anterior']"
inflamasi okular,"['inflamasi gangguan ocular', 'inflamasi okular', 'inflamasi peradangan okular', 'gangguan inflamasi ocular']"
inflamasi pasca operasi,"['inflamasi paska operasi katarak', 'radang pasca operasi katarak', 'inflamasi pasca operasi', 'inflamasi paska operasi']"
inflamasi pelvis,['inflamasi pelvis']
inflamasi trauma,"['inflamasi trauma', 'inflamasi traumatik']"
inkontinensia tinja,['inkontinensia tinja']
inkontinensia urine,['inkontinensia urin']
insomnia,['insomnia']
insufisiensi koroner,"['insufisiensi koroner', 'insufisiensi koroner kronik']"
insufisiensi vena,['insufisiensi vena']
intertrigo,"['intergo', 'intertrigo']"
intoleransi makanan,"['intoleransi terhadap makanan', 'intoleransi terhadap makanan salah cerna']"
intoleransi obat,"['intoleransi terhadap obat sitotoksik', 'intoleransi obat']"
intra abdominal,['intra abdominal']
iritasi,"['iriasi', 'iritasi ringan', 'iriasi ringan', 'iritasi', 'teriritasi lingkungan']"
iritasi hidung,"['iritasi hidung minor', 'iritasi hidung ringan', 'iriasi hidung', 'iritasi hidung']"
iritasi kulit,['iritasi kulit']
iritasi mata,"['iritasi mata ringan', 'iritasi minor mata', 'iritasi mata', 'iriasi mata', 'iritasi ringan mata']"
iritasi mulut,"['iritasi mulut', 'iritasi ringan mulut']"
iritasi saluran pernapasan,"['iritasi membran mukosa saluran nafas', 'iritasi saluran nafas lainnya', 'iritasi membran mukosa']"
iritasi usus,['iritasi usus']
iskemia,"['iskemia', 'iskemia miokardial', 'iskemia ulkus', 'iskemia miokard']"
jamur kulit,"['jamur pada kulit', 'jamur lipatan kulit', 'jamur kulit']"
jerawat,"['aknejerawat berisi nanah', 'jerawat berisi nanah', 'jerawat berat', 'jerawat parah', 'jerawatakne vulgaris', 'jerawat bisul', 'jerawat', 'infeksi jerawat']"
jerawat batu,['jerawat batu']
kaku otot sendi,"['kaku', 'kekakuan sendi', 'rasa kaku otot']"
kandidemia,['kandidemia']
kandidiasis kulit,"['kandidiasis kulit', 'kandidasis kutan']"
kandidiasis mukosal,"['kandidiasis mukokutan kulit mukosa khronik', 'kandidiasis mukokutan kulit  mukosa khronik', 'kandidiasis mukokutan kronis', 'kandidiasis mukokutan khronis', 'kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukosal', 'kandidiasi mukosa', 'kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal']"
kandidiasis oral,"['kandidiasis rongga mulut', 'infeksi orofaringeal', 'kandidiasis mulut dermatomikosis', 'kandidiasis orofaringe', 'kandidiasis oral', 'orofaringeal', 'kandidiasis mulut', 'kandidiasis orofaringeal', 'kandidiasis oral infeksi jamur rongga mulut', 'atopik oral kandidiasis', 'kandidiasis orofaringeal esofageal', 'kandidosis oral', 'kandidiasis orofaringeal  esofageal']"
kandidiasis vaginalis,"['kandidiasis vaginal', 'kandidiasis vagina', 'kandidosis vaginal', 'kandidiasis vulvovaginal']"
kanker,"['kanker', 'nyeri kanker', 'pasien kanker', 'sel kanker', 'kanker emetogenik', 'penyakit kanker']"
kanker darah,['kanker darah']
kanker hati,['kanker hati']
kanker kandung kemih,['kanker kandung kemih']
kanker lambung,['kanker lambung']
kanker paru-paru,"['kanker paru', 'kanker paru paru']"
kanker payudara,"['kanker payu dara', 'kanker payudara stadium lokal lanjutmetastasis', 'kanker payudara stadium lanjut', 'karsinoma payudara', 'kanker payudara', 'kanker payudara stadium dini']"
kanker prostat,['kanker prostat']
kanker rahim,['kanker rahim']
kanker tenggorokan,['kanker tenggorokan']
kapalan,"['kapalan', 'kalos kapalan', 'kalus kapalan']"
kardiomiopati,['cardiomiopati obstruktif hipertrofik']
katarak,"['katarak', 'katarak sinilis', 'katarak senilis', 'mata katarak']"
kejang,"['kejang otot', 'kejang', 'kejang bronkus']"
kelahiran prematur,"['prematur', 'ancaman kelahiran prematur']"
kelainan darah,['kelainan darah']
kelainan kulit,"['kelainan kulit', 'kelainan kulit alergis kronis']"
kelainan muskuloskeletal akut,['kelainan muskuloskeletal akut']
kelainan periodontal,['kelainan periodontal']
kelainan saraf,['kelainan saraf']
kelebihan asam lambung,"['gejala berhubungan kelebihan asam lambung', 'kelebihan asam lambung']"
kencing manis,['kencing manis']
keputihan,"['gatal akibat keputihan', 'keputihan']"
keracunan,['keracunan']
keracunan alkohol,"['intoksinasi alkohol', 'keracunan alkohol']"
keracunan darah,"['keracunan darh oleh bakteri patogenik', 'keracunan darah', 'keracunan darh bakteri patogenik', 'septikemia keracunan darah bakteri', 'septikemia keracunan darah bakteri patogenik zat zat dihasilkan bakteri']"
keracunan hati,['keracunan hati']
keracunan obat,"['keracunan parasetamol', 'keracunan obat']"
keratitis,"['keratitis bakterial', 'keratitis akibat infeksi virus superfisial', 'keratitis', 'keratitis metaherpetikum', 'keratitis fungal', 'keratitis dendritis', 'keratitis superfisial nonspesifik', 'keratitis kronik', 'keratitis jamur', 'fungal keratitis', 'keratitis gangguan peradangan okular', 'keratitis akut', 'keratitis metaherpetikum erosi kornea virus herpes']"
keratokonjungtivitis,"['keratokonjungtivitis sicca', 'keratokonjungtivitis']"
keratosis pilaris,['keratosis pilaris']
keseleo,"['keseleo tegang', 'memar keseleo', 'kesleo', 'sprains keseleo', 'sprains', 'sprain', 'keseleo terkilir', 'keseleo']"
kesemutan,['kesemutan']
ketombe,"['ketombe', 'ketombe disebabkan pytirosporum ovale', 'ketombe dikulit kepala']"
kista,"['kista', 'miom kista']"
klaudikasio intermiten,"['klaudikasio intermiten', 'klaudikasi intermiten']"
kolera,['kolera']
kolesterol,"['kolesterol ldl', 'kolesterol jahat', 'kolesterol total', 'kolesterol']"
kolik,"['kolik', 'sakit kolik', 'nyeri kolik', 'kholik', 'kolik empedu', 'kolik abdomen']"
kolik ginjal,"['kolik empedu ginjal', 'kolik ginjal empedu', 'kolik ginjal']"
kolik kandung kemih,"['kolik kandung kemih', 'kolik ginjal kandung kemih']"
koma,"['koma hepatic', 'koma hepatik', 'prekoma hepatik', 'sistemik prekoma', 'pre koma hepatik', 'prekoma', 'koma']"
komedo,"['komedo', 'peradangan dengan komedo']"
komplikasi paru pasca bedah,['komplikasi paru pasca bedah']
konjungtivitis,"['konjungtivitas', 'konjungtivitis infeksi e', 'konjungtivitis alergi', 'konjungtivitis', 'konjungtivitis nonpurulen akut kronis', 'konjungtivitis alergi radang selaput ikat mata akibat alergi', 'konjungtivitis nonpurulen', 'konjungktivitis', 'konjungtivitis infeksi bakteri', 'konjungtivitis folikular', 'konjungtivitis bakterial', 'konjungtivitis vernal']"
konstipasi,"['konstipasi akut kronik', 'konstipasi superscript', 'konstipasi kronik', 'konstipasi kronis', 'konstipasi akut', 'konstipasi', 'konstipasi atoni']"
kram ,"['kram', 'kram nokturnal']"
kram otot,"['nyeri spasme kram otot polo', 'spasme kram otot', 'kram otot', 'spasme otot']"
kram perut,"['kram perut disebabkan oleh menstruasi dysmenorrhea', 'sakit kram perut', 'kram perut']"
kram saluran kemih,['kram saluran kemih kelamin']
kram saluran pencernaan,"['kram saluran cerna', 'kram saluran cerna pylorus']"
kriptokokal,['kriptokokal']
kriptokokosis,"['kriptokokosis kandidemia', 'kriptokokosis non meningeal', 'kriptokokosis nonmeningeal', 'kriptokokosis']"
kriptosporidiosis,"['kriptosporidiosis', 'cryptosporidiosis']"
kudis,"['scabies', 'panu kadas', 'scabiei', 'kadas', 'skabies', 'terapi infestasi sarcoptes scabies scabies', 'scabies kudis', 'kudis']"
kulit kering,['kulit kering']
kurap,"['kurap', 'kadaskurap']"
kutil,"['kutil kalus', 'kutil']"
kutu air,"['tinea pedis manum', 'kutu air rangen', 'tinea pedis kutu air', 'kutu air', 'rangen', 'tinea pedis', 'tinea manus pedis']"
kutu badan,['kutu badan']
kutu rambut,['kutu rambut']
labirinitis,"['labirinitis', 'sindroma meniere labirinitis']"
lambliasis,['lambliasis']
laringitis,"['laryngitis', 'laringitis']"
leher pegal dan kaku,"['leher kaku bahu', 'leher kaku', 'pegal leher', 'leher kaku terkilir']"
lepra,['lepra']
leptospirosis,['leptospirosis']
lesi,"['lesi akut', 'lesi khronik']"
lesi kulit,"['lesi2 kulit lainnya', 'lesi2 kulit', 'lesi kulit']"
lesi mukosa,"['lesi mukosa akibat trauma', 'lesi mukosa']"
lesi mulut,['lesi inflamasi oral']
lichen planus,"['likhen planus erosif', 'lichen planus', 'liken planus', 'likhen planus']"
limfogranuloma inguinale,['limfogranuloma inguinale']
luka,"['luka minor', 'luka', 'luka kronik']"
luka bakar,"['luka bakar ringan', 'luka bakar akibat bahan kimia', 'luka bakar terinfeksi', 'luka bakar']"
luka tusuk,['luka tusuk']
luka usus,"['luka usus duodenal', 'luka lambung usus', 'luka usus']"
lupus,"['lupus eritematosus diskoid', 'lupus eritematosus discoid', 'lupus eritematosus', 'lupus', 'lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif', 'lupus eritemmantosus', 'lupus eritematosus diskoid tidak respon kortikosteroid aktif']"
lymphogranuloma,"['limfogranuloma', 'lymphogranuloma']"
lymphomagranuloma,['lymphomagranuloma']
mabuk perjalanan,"['mabuk kendaraan', 'mabuk', 'pencegahan mabuk perjalanan', 'mabuk perjalanan', 'mabuk karena kendaraan']"
makrosomia,['makrosomia']
malaria,"['serangan akut malaria falciparum resisten klorokuin', 'malaria falciparum', 'pencegahan malaria', 'malaria']"
masuk angin,"['masuk angin', 'gejala masuk angin']"
mata gatal,"['okular gatal terbakar', 'gatal mata', 'gatal terbakar mata', 'gatal panas mata']"
mata ikan,['mata ikan']
mata kering,"['kekeringan mata', 'sindroma mata kering', 'mata kering']"
mata lelah,['mata lelah']
mata merah,"['kemerahan mata', 'mata merah', 'iritasi mata merah', 'peradangan mata merah']"
melasma,"['melasma derajat sedang hingga berat', 'melasma']"
memar,"['memar akibat kecelakaan', 'terkilir memar', 'memar', 'memar benturan', 'luka memar']"
meningitis,"['meningitis kriptokokal', 'bakteri gram negatif penyebab bakteria meningitis', 'infeksi meningeal', 'infeksi meningen', 'bakteria meningitis', 'kuman gram negatif penyebab meningitis bakteremia', 'bakteri gr menyebabkan meningitis', 'bakteri gr  menyebabkan meningitis', 'meningitis', 'gram negatif menyebabkan bakteremia meningitis', 'tuberkulosis meningitis', 'meningitis bakteri gram negatif', 'meningitis nontbc', 'bakteremia meningitis', 'meningitis disebabkan bakteri gram negatif', 'meningitis bakteremia']"
menopause,"['menopause', 'gangguan pasca menopause']"
meriang,"['sumeng meriang', 'badan meriang', 'meriang']"
mialgia,['mialgia']
migrain,"['migrain', 'serangna migren akut', 'migraine', 'migrain akut', 'migren akut', 'migraine akut', 'migren']"
mikosis,"['mikosis mulut kulit kandida', 'mikosis kulit dermatofita', 'mikosis', 'infeksi mikosis sistemik', 'mikosis sistemik', 'mikosis interdigitalis']"
milia,['milia']
miom,['miom']
molluscum contagiosum,"['molluscum contagiosum', 'moluskum kontagiosum']"
morning sickness,['morning sickness']
mual,"['hiperasiditas mual', 'mual', 'mual akibat radiasi', 'gejala mual', 'rasa mual', 'perut mual', 'pening mual', 'mual akut']"
mual muntah,"['mual muntah akibat penggunaal levodopa bromokriptin', 'mual dan muntah akibat radioterapi', 'mual muntah akut', 'mual pagi hari', 'mual muntah obat', 'mual muntah disebabkan oleh obat', 'mual muntah anak2 akibat kemoterapi radioterapi', 'mual dan muntah pada anak2 akibat kemoterapi  radioterapi', 'mualmuntah paska operasi', 'mual  muntah akut', 'mual dan muntah', 'mual muntah pasca operasi', 'mual dan muntah yang dipicu oleh radioterapi', 'mual dan muntah yang disebabkan oleh obat', 'mual muntah dipicu oleh radioterapi', 'mual di pagi hari', 'mual muntah akibat obat', 'mual  muntah yang disebabkan kemoterapi  radioterapi untuk kanker', 'mual dan muntah akibat kemoterapi  radioterapi', 'mual paska operasi', 'mual muntah kemoterapi', 'mual dan muntah yang diinduksi obat kemoterapi sitotoksik', 'mual dan muntah pada anak akibat kemoterapi dan radioterapi', 'mual muntah kemoterapi radioterapi', 'mual dan muntah akibat obat', 'mual muntah disebabkan radioterapi untuk kanker', 'mual atau muntah', 'mual dan muntah yang disebabkan kemoterapi', 'mual muntah radioterapi', 'mual dan muntah yang disebabkan radioterapi untuk kanker', 'mual muntah', 'mual dan muntah karena radioterapi', 'mual atau muntah pasca operasi', 'mual dan muntah akut', 'mual dan muntah akibat kemoterapi', 'mual meriang', 'mual dan muntah karena obat', 'mual dan muntah pasca pembedahan', 'mual dan muntah pasca operasi', 'mual muntah pasca pembedahan', 'mual muntah kehamilan', 'mual muntah akibat radioterapi', 'mual muntah akibat kemoterapi radioterapi', 'mual dan muntah karena kemoterapi dan radioterapi', 'mual muntah akibat kemoterapi', 'mual dan muntah akibat kemoterapi dan radioterapi', 'mual muntah diinduksi obat kemoterapi sitotoksik', 'mual muntah disebabkan kemoterapi', 'mual muntah akibat gangguan metabolik pasca operasi', 'maul akut', 'mual muntah disebabkan kemoterapi radioterapi untuk kanker', 'mual dan muntah paska operasi', 'mual muntah paska operasi', 'mual muntah anak akibat kemoterapi radioterapi', 'mual dan muntah karena kemoterapi', 'maul', 'mual muntah kemoterapi emetogenik', 'mual  muntah yang disebabkan kemoterapi', 'mual dan muntah akibat penggunaal levodopa dan bromokriptin', 'mual  muntah']"
mulut kering,['mulut kering']
muntah,"['muntah saat hamil', 'muntahmuntah bromokriptin', 'muntahmuntah karena levodopa', 'muntah dalam perjalanan', 'muntah akut', 'muntah muntah', 'muntah  muntah', 'muntah ringan', 'muntah', 'muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor kapal kereta api atau pesawat udara', 'muntah paska anestesi', 'muntahmuntah', 'mual paska anestesi', 'muntah saat perjalanan', 'muntah kehamilan', 'maul akut muntahmuntah', 'muntah pada kehamilan', 'muntahmuntah karena bromokriptin', 'muntah pasca operasi', 'muntah paska operasi', 'muntahmuntah levodopa', 'muntah dalam perjalanan diderita jika mempergunakan kendaraan bermotor kapal kereta api pesawat udara']"
myasthenia gravis,"['myasthenia gravis', 'miastenia gravis']"
myositis,"['myositis', 'miositis']"
nefropati,['nefropati']
nefropati diabetik,['nefropati diabetik']
neuralgia,['neuralgia']
neuritis,"['neuritis neuralgia', 'neuritis perifer', 'neuritis', 'neuritis reumatik', 'neuritis kehamilan']"
neuritis optik,"['neuritis optika', 'neuritis optik']"
neurodermatitis,"['neurodermatitis kontak', 'neurodermatitis lokalisata', 'neurodermatitis', 'neuro-dermatitis']"
neuropati,"['neuropati vagal diabetikum', 'neuropati']"
neuropati diabetik,"['neuropati diabetik', 'neuropati diabetika']"
neuropati perifer,['neuropati perifer']
nistagmus,['nistagmus']
nyeri,"['nyeri sedang berat', 'rasa nyeri', 'rasa nyeri akut', 'sakit nyeri ringan', 'nyeri sakit', 'nyeri akibat memar', 'nyeri lain', 'nyeri ringan', 'rasa nyeri kronik', 'nyeri akut derajat berat', 'sakitnyeri', 'nyeri kronis akut', 'nyeri akut', 'nyeri berat', 'nyeri', 'meredakan rasa nyeri']"
nyeri bahu,"['nyeri otot bahu', 'nyeri bahu', 'nyeri otot leher bahu punggung', 'rasa sakit otot bahu']"
nyeri cedera,"['nyeri terkilir', 'nyeri cedera', 'nyeri akibat terkilir terpukul']"
nyeri gigi,"['meredakan nyeri gigi ringan', 'nyeri gigi', 'nyeri gigi ringan hingga sedang', 'nyeri gigi sedang', 'nyeri gigi ringan']"
nyeri inflamasi,['nyeri inflamasi']
nyeri kaki,['nyeri kaki']
nyeri kepala,['nyeri kepala']
nyeri lambung,"['nyeri lambung', 'nyeri paroksismal lambung usus halus', 'nyeri paroxismal lambung', 'nyeri paroksismal penyakit lambung usus halus', 'nyeri paroxismal usus halus', 'nyeri paroxismal lambung usus halus', 'nyeri paroksismal']"
nyeri leher,"['sakit otot leher pundak', 'nyeri leher', 'nyeri otot leher', 'sakit otot leher', 'rasa sakit leher']"
nyeri lutut,['nyeri lutut']
nyeri muskuloskeletal,"['nyeri muskuloskeletal lain', 'nyeri muskuloskeletal', 'nyeri muskuloskeletal akut', 'nyeri muskuloskeletal kronis', 'nyeri musculoskeletal akut', 'nyeri muskuloskeletal kronik']"
nyeri otot,"['nyeri otot', 'nyeri ringan sedang otot', 'nyeri otot olahraga', 'rasa sakit otot olahraga']"
nyeri pasca bedah,"['nyeri paska bedah', 'nyeri lokal paska bedah mulut', 'nyeri paskabedah', 'nyeri pascabedah']"
nyeri pasca operasi,"['nyeri setelah traumapasca operasi', 'nyeri operasi', 'nyeri paska operasi', 'nyeri sesudah operasi', 'nyeri pasca operasi pasca bedah gigi tulang', 'setelah operasi', 'nyeri yang muncul setelah operasi', 'meredakan nyeri pasca operasi', 'nyeri muncul setelah operasi', 'nyeri pasca bedah', 'nyeri akut pembedahan gigi', 'nyeri pasca operasi derajat', 'nyeri cabut gigi', 'nyeri perut sehabis operasi', 'nyeri pasca operasi', 'nyeri sehabis melahirkan', 'sakit setelah operasi', 'nyeri inflamasi pasca op', 'nyeri sesudah pembedahan', 'nyeri pasca op', 'pencabutan gigi nyeri operasi', 'nyeri pasca operasi cabut gigi', 'nyeri sehabis operasi']"
nyeri pasca partum,"['nyeri pasca partum', 'pasca partum']"
nyeri pasca trauma,"['nyeri setelah traumatik', 'nyeri traumatik', 'nyeri pasca trauma', 'nyeri trauma operasi', 'nyeri trauma', 'nyeri inflamasi pasca trauma terkilir', 'nyeri akibat trauma', 'nyeri inflamasi pasca trauma']"
nyeri pasca vaksinasi,['nyeri pasca vaksinasi']
nyeri perut,['nyeri perut']
nyeri pinggang,"['nyeri pinggang', 'nyeri otot pinggang']"
nyeri pundak,['nyeri pundak']
nyeri punggung,"['nyeri tulang punggung', 'nyeri kolumna vertebra tulang punggung', 'nyeri punggung', 'nyeri otot punggung', 'sakit nyeri punggung', 'nyeri kolumna vertebra', 'nyeri pada punggung', 'nyeri dipunggung']"
nyeri saraf,"['neuralgia nyeri saraf', 'nyeri saraf', 'neuralgia nyeri saraf migren']"
nyeri sendi,"['nyeri sendi', 'pegal nyeri sendi', 'pegal linu nyeri sendi', 'nyeri persendian', 'nyeri sendi akibat reumatik', 'nyeri otot sendi', 'nyeri pegalpegal otot sendi']"
nyeri spastik,"['nyeri spastik saluran kemih', 'spastik organ genital wanita', 'nyeri spastik saluran empedu', 'nyeri paroxismal lambung usus halus nyeri spastik saluran empedu saluran kemih organ genital wanita', 'nyeri spastik organ genital wanita', 'nyeri spastik sistem genital wanita', 'nyeri spastik']"
nyeri telinga,['nyeri telinga']
nyeri tenggorokan,['nyeri tenggorokan']
nyeri tulang,['nyeri tulang']
oligomenorea,"['oligomenorea', 'oligomenore']"
oligospermia,"['oligospermia', 'oligospermia pria']"
onkomikosis,"['onikomikosis', 'onkomikosis']"
orchitis,['orchitis']
osteoarthritis,"['sindroma nyeri kolumna vertebralis', 'oa eksaserbasi akut', 'osteoartritis oa', 'oa panggul', 'osteoartritis spondilosa artritis', 'eksacerbasi akut osteoarthritis', 'osteoarthritis (oa)', 'osteoartritis spondilosa', 'osteoartrosis', 'osteoartritis', 'artritis tulang punggung', 'osteoartritis jangka pendek', 'osteo arthritis', 'osteoartritis kolumna vertebralis', 'herniated osteoarthritis', 'osteoatritis panggul', 'nyeri osteoarthritis', 'osteoarthritis', 'gejala osteoartritis', 'osteoartritis akut', 'eksaserbasi akut oa', 'osteoarthritis oa', 'osteoartritis spondilartritis', 'ostearthiritis', 'osteaoarthritis', 'oa', 'osteoartritis eksaserbasi akut']"
osteodistrofi ginjal,"['osteodistrofi ginjal pasien dialisis', 'osteodistrofi ginjal', 'osteodistrofi']"
osteogenesis imperfecta,"['osteogenesis imperfecta', 'osteogenesis imperfekta']"
osteomielitis,"['infeksi osteomielitis radang sumsum tulang', 'infeksi osteomielitis', 'osteomielitis radang sumsum tulang', 'osteomielitis radang sumsum tulang akut', 'osteomielitis akut', 'osteomielitisradang sumsum tulang', 'osteomielitis', 'intra abdominal osteomielitis']"
osteopetrosis,['osteopetrosis']
osteoporosis,"['osteoporosis', 'ostoroposis', 'osteoporosis sekunder', 'osteoporosis primer', 'ostoroposis tulang', 'osteporosis', 'osteoporosis paska menopause']"
otitis eksterna,"['otitis eksterna kronis', 'otitis eksterna', 'otitis externa khronik', 'otitis externa atau peradangan pada telinga bagian luar', 'otitis externa akut', 'otitis eksterna kronik', 'otitis externa', 'otitis eksterna akut', 'otitis externa peradangan telinga bagian luar', 'otitis externa akut khronik']"
